"Season_End_Year","Squad","Comp","Team_or_Opponent","Num_Players","Age","Poss","MP_Playing","Starts_Playing","Min_Playing","Mins_Per_90_Playing","Gls","Ast","G_minus_PK","PK","PKatt","CrdY","CrdR","Gls_Per","Ast_Per","G+A_Per","G_minus_PK_Per","G+A_minus_PK_Per","xG_Expected","npxG_Expected","xA_Expected","npxG+xA_Expected","xG_Per","xA_Per","xG+xA_Per","npxG_Per","npxG+xA_Per","Url"
2021,"Barcelona","La Liga","team",25,26.4,65.8,38,418,3420,38,80,51,76,4,8,72,2,2.11,1.34,3.45,2,3.34,78.9,72.6,57.4,130,2.08,1.51,3.59,1.91,3.42,"https://fbref.com/en/squads/206d90db/2020-2021/Barcelona-Stats"
2021,"Barcelona","La Liga","opponent",25,27.4,34.2,38,418,3420,38,36,20,31,5,5,76,6,0.95,0.53,1.47,0.82,1.34,39.6,35.8,24.2,60,1.04,0.64,1.68,0.94,1.58,"https://fbref.com/en/squads/206d90db/2020-2021/Barcelona-Stats"
2021,"Betis","La Liga","team",25,27.9,53.9,38,418,3420,38,50,35,42,8,11,93,8,1.32,0.92,2.24,1.11,2.03,46,37.8,29.9,67.7,1.21,0.79,2,1,1.78,"https://fbref.com/en/squads/fc536746/2020-2021/Real-Betis-Stats"
2021,"Betis","La Liga","opponent",25,27.4,46.1,38,418,3420,38,47,31,39,8,10,83,2,1.24,0.82,2.05,1.03,1.84,45.5,38,29.6,67.7,1.2,0.78,1.98,1,1.78,"https://fbref.com/en/squads/fc536746/2020-2021/Real-Betis-Stats"
2021,"Levante","La Liga","team",29,28,52.4,38,418,3420,38,45,35,42,3,6,68,1,1.18,0.92,2.11,1.11,2.03,41,36.4,28.5,64.9,1.08,0.75,1.83,0.96,1.71,"https://fbref.com/en/squads/9800b6a1/2020-2021/Levante-Stats"
2021,"Levante","La Liga","opponent",29,27.4,47.6,38,418,3420,38,55,42,52,3,4,87,7,1.45,1.11,2.55,1.37,2.47,53.9,51,38.7,89.8,1.42,1.02,2.44,1.34,2.36,"https://fbref.com/en/squads/9800b6a1/2020-2021/Levante-Stats"
2021,"Real Madrid","La Liga","team",30,27.9,59.7,38,418,3420,38,64,53,61,3,3,59,2,1.68,1.39,3.08,1.61,3,61.5,59.2,46,105.3,1.62,1.21,2.83,1.56,2.77,"https://fbref.com/en/squads/53a2f082/2020-2021/Real-Madrid-Stats"
2021,"Real Madrid","La Liga","opponent",30,27.5,40.3,38,418,3420,38,27,17,20,7,8,87,3,0.71,0.45,1.16,0.53,0.97,36.5,30.4,23.8,54.2,0.96,0.63,1.59,0.8,1.43,"https://fbref.com/en/squads/53a2f082/2020-2021/Real-Madrid-Stats"
2021,"Villarreal","La Liga","team",29,28,55.6,38,418,3420,38,57,33,45,12,13,67,5,1.5,0.87,2.37,1.18,2.05,58,48.3,40.5,88.9,1.53,1.07,2.59,1.27,2.34,"https://fbref.com/en/squads/2a8183b3/2020-2021/Villarreal-Stats"
2021,"Villarreal","La Liga","opponent",29,27.5,44.4,38,418,3420,38,42,25,35,7,9,78,4,1.11,0.66,1.76,0.92,1.58,43.5,36.7,25.4,62,1.14,0.67,1.81,0.97,1.63,"https://fbref.com/en/squads/2a8183b3/2020-2021/Villarreal-Stats"
