Season_End_Year,Squad,Comp,Team_or_Opponent,Num_Players,Age,Poss,MP_Playing,Starts_Playing,Min_Playing,Mins_Per_90_Playing,Gls,Ast,G_minus_PK,PK,PKatt,CrdY,CrdR,Gls_Per,Ast_Per,G+A_Per,G_minus_PK_Per,G+A_minus_PK_Per,xG_Expected,npxG_Expected,xA_Expected,npxG+xA_Expected,xG_Per,xA_Per,xG+xA_Per,npxG_Per,npxG+xA_Per,Url
2021,Alavés,La Liga,team,30,28.7,42.7,38,418,3420,38,35,21,30,5,8,96,8,0.92,0.55,1.47,0.79,1.34,42.4,36.5,25.5,62,1.12,0.67,1.79,0.96,1.63,https://fbref.com/en/squads/8d6fd021/2020-2021/Alaves-Stats
2021,Alavés,La Liga,opponent,30,27.5,57.3,38,418,3420,38,57,44,54,3,3,80,3,1.5,1.16,2.66,1.42,2.58,50.8,48.5,37,85.5,1.34,0.97,2.31,1.28,2.25,https://fbref.com/en/squads/8d6fd021/2020-2021/Alaves-Stats
2021,Angers,Ligue 1,team,31,27.9,46.2,38,418,3420,38,39,23,34,5,6,65,2,1.03,0.61,1.63,0.89,1.5,41.7,37.2,27.4,64.6,1.1,0.72,1.82,0.98,1.7,https://fbref.com/en/squads/69236f98/2020-2021/Angers-Stats
2021,Angers,Ligue 1,opponent,31,26,53.8,38,418,3420,38,57,41,50,7,8,73,3,1.5,1.08,2.58,1.32,2.39,50.9,45.6,35,80.6,1.34,0.92,2.26,1.2,2.12,https://fbref.com/en/squads/69236f98/2020-2021/Angers-Stats
2021,Arminia,Bundesliga,team,26,26,42.2,34,374,3060,34,23,16,22,1,2,52,1,0.68,0.47,1.15,0.65,1.12,30.7,29.2,22.1,51.3,0.9,0.65,1.55,0.86,1.51,https://fbref.com/en/squads/247c4b67/2020-2021/Arminia-Stats
2021,Arminia,Bundesliga,opponent,26,25.9,57.8,34,374,3060,34,51,36,46,5,6,63,2,1.5,1.06,2.56,1.35,2.41,55.7,51.2,40.8,92.1,1.64,1.2,2.84,1.51,2.71,https://fbref.com/en/squads/247c4b67/2020-2021/Arminia-Stats
2021,Arsenal,Premier League,team,29,25.9,53.8,38,418,3420,38,53,38,47,6,6,49,5,1.39,1,2.39,1.24,2.24,53.5,49,36.6,85.5,1.41,0.96,2.37,1.29,2.25,https://fbref.com/en/squads/18bb7c10/2020-2021/Arsenal-Stats
2021,Arsenal,Premier League,opponent,29,26.7,46.2,38,418,3420,38,35,25,33,2,3,74,2,0.92,0.66,1.58,0.87,1.53,44.3,42.1,29.9,71.9,1.17,0.79,1.95,1.11,1.89,https://fbref.com/en/squads/18bb7c10/2020-2021/Arsenal-Stats
2021,Aston Villa,Premier League,team,24,25.2,48.1,38,418,3420,38,52,38,47,5,6,71,4,1.37,1,2.37,1.24,2.24,52.9,48.5,37.1,85.6,1.39,0.98,2.37,1.28,2.25,https://fbref.com/en/squads/8602292d/2020-2021/Aston-Villa-Stats
2021,Aston Villa,Premier League,opponent,24,26.7,51.9,38,418,3420,38,45,30,40,5,6,73,7,1.18,0.79,1.97,1.05,1.84,52.9,48.4,32.7,81.1,1.39,0.86,2.25,1.27,2.13,https://fbref.com/en/squads/8602292d/2020-2021/Aston-Villa-Stats
