Game,Opp,SkyPts,OppPts,SkyFG,SkyFGA,SkyFT,SkyFTA,SkyREB,SkyTOV,OppFG,OppFGA,OppFT,OppFTA,OppREB,OppTOV
1,WAS,70,56,22,60,18,21,36,14,18,72,16,19,44,14
2,ATL,85,77,28,70,28,36,47,24,30,77,12,24,35,18
3,NYL,85,93,33,81,13,15,35,12,36,73,7,10,40,22
4,ATL,83,90,25,62,27,28,41,21,31,74,20,25,32,10
5,LAS,61,76,21,51,13,14,33,27,26,66,15,18,30,19
6,LAS,79,82,30,75,12,12,45,22,30,73,14,18,33,19
7,PHO,83,84,30,79,19,20,28,10,31,59,14,20,35,19
8,PHO,74,77,27,78,12,14,39,8,30,70,12,17,38,17
9,LAS,63,68,21,62,16,23,43,18,25,68,15,21,38,11
10,IND,92,76,32,71,19,21,40,10,30,72,10,10,37,16
11,IND,83,79,27,63,21,25,27,16,30,62,15,22,31,17
12,MIN,105,89,40,70,13,16,30,13,32,70,20,27,32,20
13,CON,81,75,28,68,20,24,38,12,25,62,21,27,34,14
14,CON,91,81,32,64,20,21,29,12,29,63,17,20,32,18
15,NYL,92,72,36,80,13,13,42,9,29,68,8,11,32,16
16,NYL,91,68,37,74,8,9,35,14,25,67,14,18,37,21
17,CON,58,74,23,69,7,7,34,18,27,64,14,19,38,18
18,DAL,91,81,34,71,13,19,38,16,31,75,13,16,37,17
19,DAL,91,100,37,66,10,11,27,10,34,64,21,26,26,13
20,WAS,85,89,34,78,11,13,35,12,35,79,11,15,44,15
21,SEA,87,85,33,77,12,17,44,18,29,84,21,28,47,8
22,DAL,76,80,30,72,8,8,32,10,30,78,13,15,45,12
23,MIN,95,101,35,73,16,19,23,9,34,63,28,33,33,13
24,ATL,86,79,34,66,10,14,35,12,33,79,6,9,38,7
25,SEA,73,69,29,69,8,12,39,18,25,68,16,17,34,17
26,SEA,107,75,41,73,10,11,36,9,29,64,12,14,22,12
27,PHO,83,103,32,71,13,15,32,11,39,75,11,12,35,8
28,LVA,83,90,30,68,15,17,32,13,33,73,20,25,39,12
29,LVA,92,84,34,67,17,23,38,7,30,73,19,22,37,6
30,WAS,71,79,28,67,12,15,31,14,29,60,12,17,35,15
31,LVA,70,103,28,70,6,6,19,12,41,73,12,14,47,15
32,IND,98,87,35,71,19,24,35,10,33,69,15,18,31,15
