"","Player","Team","GP","TOI","Shots Against","Saves","Goals Against","SV%","GAA","GSAA","xG Against","HD Shots Against","HD Saves","HD Goals Against","HDSV%","HDGAA","HDGSAA","Rush Attempts Against","Rebound Attempts Against","Avg. Shot Distance","Avg. Goal Distance"
"87","Charlie Lindgren","STL","5","246.41666666667","118","113","5","0.958","1.22","5.97","10.21","29","27","2","0.931","0.49","3.32","2","13","36.58","16.40"
"34","Louis Domingue","PIT","2","118.75","83","79","4","0.952","2.02","3.72","7.16","25","21","4","0.840","2.02","0.58","7","13","36.06","9.00"
"63","Spencer Martin","VAN","6","378.35","218","207","11","0.950","1.74","9.27","21.11","62","57","5","0.919","0.79","6.37","8","27","33.36","25.09"
"37","Michael Houser","BUF","2","120","75","71","4","0.947","2.00","2.97","5.52","14","12","2","0.857","1.00","0.57","2","10","37.05","19.50"
"100","Daniil Tarasov","CBJ","4","174.85","111","104","7","0.937","2.40","3.32","9.07","31","25","6","0.806","2.06","-0.32","3","18","37.50","19.71"
"41","Garret Sparks","L.A","2","97.216666666667","47","44","3","0.936","1.85","1.37","3.42","12","9","3","0.750","1.85","-0.80","0","5","32.32","17.33"
"38","Keith Kinkaid","NYR","1","60","31","29","2","0.935","2.00","0.88","2.28","9","8","1","0.889","1.00","0.65","2","3","34.61","28.00"
"73","Igor Shesterkin","NYR","53","3075.5333333333","1622","1516","106","0.935","2.07","44.83","145.86","471","411","60","0.873","1.17","26.34","96","180","34.08","19.67"
"70","Ilya Sorokin","NYI","52","3072.45","1643","1520","123","0.925","2.40","29.78","139.99","452","389","63","0.861","1.23","19.86","103","171","34.63","23.20"
"60","Zach Fucale","WSH","4","171.58333333333","66","61","5","0.924","1.75","1.14","6.97","17","17","0","1.000","0.00","3.12","6","10","32.03","37.60"
"16","Jacob Markstrom","CGY","63","3695.8333333333","1754","1617","137","0.922","2.22","26.10","152.26","450","382","68","0.849","1.10","14.49","105","182","36.14","22.45"
"36","Frederik Andersen","CAR","52","3072.4666666667","1431","1320","111","0.922","2.17","22.07","136.9","414","344","70","0.831","1.37","5.89","82","188","35.03","18.81"
"26","Darcy Kuemper","COL","57","3258.1166666667","1755","1617","138","0.921","2.54","25.19","154.23","487","415","72","0.852","1.33","17.27","114","239","36.29","22.53"
"62","Eric Comrie","WPG","19","1024.8166666667","550","506","44","0.920","2.58","7.14","51.73","154","129","25","0.838","1.46","3.23","27","59","33.80","21.43"
"61","Tristan Jarry","PIT","58","3414.7166666667","1711","1573","138","0.919","2.42","21.10","143.92","465","381","84","0.819","1.48","1.24","108","201","34.78","20.06"
"71","Ville Husso","STL","40","2341.2333333333","1236","1136","100","0.919","2.56","14.93","114.3","327","279","48","0.853","1.23","11.94","66","143","32.53","21.87"
"59","Juuse Saros","NSH","67","3931.3833333333","2107","1934","173","0.918","2.64","22.93","180.69","512","431","81","0.842","1.24","12.86","129","186","33.52","21.96"
"40","Anton Forsberg","OTT","46","2571.9","1457","1336","121","0.917","2.82","14.48","127.83","403","340","63","0.844","1.47","10.88","68","160","35.05","21.02"
"47","Andrei Vasilevskiy","T.B","63","3760.75","1869","1713","156","0.917","2.49","17.79","165.89","518","422","96","0.815","1.53","-1.04","100","180","33.57","21.85"
"52","Anthony Stolarz","ANA","28","1506.4166666667","809","742","67","0.917","2.67","8.23","70.53","215","179","36","0.833","1.43","3.41","56","83","34.07","23.78"
"54","Linus Ullmark","BOS","41","2330.4333333333","1142","1047","95","0.917","2.45","11.19","94.3","284","234","50","0.824","1.29","2.06","70","101","36.80","22.25"
"98","Ukko-Pekka Luukkonen","BUF","9","503.06666666667","277","254","23","0.917","2.74","2.76","22.67","63","53","10","0.841","1.19","1.55","13","27","35.89","24.61"
"108","Pavel Francouz","COL","21","1200.15","608","557","51","0.916","2.55","5.54","50.72","180","148","32","0.822","1.60","1.00","44","78","35.59","25.24"
"2","Mike Smith","EDM","28","1579.9666666667","874","800","74","0.915","2.81","7.27","77.48","220","185","35","0.841","1.33","5.33","51","85","35.34","23.34"
"65","Thatcher Demko","VAN","64","3699.55","1967","1799","168","0.915","2.72","14.91","173.26","536","446","90","0.832","1.46","8.26","107","216","35.13","22.38"
"31","Jack Campbell","TOR","49","2795.4","1431","1308","123","0.914","2.64","10.07","116.84","359","286","73","0.797","1.57","-7.19","78","130","36.03","19.84"
"86","Casey DeSmith","PIT","26","1417.65","769","703","66","0.914","2.79","5.51","63.63","197","160","37","0.812","1.57","-0.89","36","96","36.94","22.62"
"96","Jake Oettinger","DAL","48","2707.6","1331","1217","114","0.914","2.53","9.77","112.11","345","295","50","0.855","1.11","13.24","64","146","35.56","22.61"
"101","Jeremy Swayman","BOS","41","2390.25","1111","1015","96","0.914","2.41","7.31","92.39","262","210","52","0.802","1.31","-3.97","75","115","37.71","21.80"
"102","Logan Thompson","VGK","19","1097.7333333333","569","520","49","0.914","2.68","3.91","49.02","148","123","25","0.831","1.37","2.13","43","72","34.23","22.92"
"103","Josef Korenar","ARI","2","70.3","35","32","3","0.914","2.56","0.25","2.92","6","4","2","0.667","1.71","-0.90","1","4","32.97","13.33"
"19","Braden Holtby","DAL","24","1318.4666666667","700","639","61","0.913","2.78","4.09","58.7","174","144","30","0.828","1.37","1.90","45","72","36.89","21.23"
"29","Sergei Bobrovsky","FLA","54","3082.1666666667","1566","1429","137","0.913","2.67","8.62","146.07","496","419","77","0.845","1.50","13.92","94","238","34.57","20.13"
"95","Stuart Skinner","EDM","13","734.15","367","335","32","0.913","2.62","2.13","31.49","107","89","18","0.832","1.47","1.61","19","43","35.81","21.22"
"5","Brian Elliott","T.B","19","1063.4166666667","489","446","43","0.912","2.43","2.47","42.65","124","100","24","0.806","1.35","-1.27","24","42","35.25","20.35"
"57","Antti Raanta","CAR","28","1516.6333333333","706","644","62","0.912","2.45","3.65","67.76","226","186","40","0.823","1.58","1.43","46","94","34.49","19.23"
"72","Kaapo Kahkonen","MIN, S.J","36","1946.0666666667","1056","963","93","0.912","2.87","5.20","92.6","258","205","53","0.795","1.63","-5.70","66","123","37.04","22.86"
"13","James Reimer","S.J","48","2652.6833333333","1450","1321","129","0.911","2.92","5.83","131.47","388","319","69","0.822","1.56","2.13","82","148","35.20","22.53"
"15","Semyon Varlamov","NYI","31","1792.2666666667","979","892","87","0.911","2.91","4.04","88.55","282","231","51","0.819","1.71","0.69","42","127","33.44","19.49"
"28","Cam Talbot","MIN","49","2865.1","1488","1356","132","0.911","2.76","6.37","114.94","347","278","69","0.801","1.44","-5.39","99","128","37.48","21.62"
"90","Joseph Woll","TOR","4","239.31666666667","123","112","11","0.911","2.76","0.44","9.88","34","29","5","0.853","1.25","1.23","16","8","38.23","24.36"
"11","Jonathan Quick","L.A","46","2685.8666666667","1286","1170","116","0.910","2.59","3.58","127.89","401","334","67","0.833","1.50","6.51","52","189","33.05","19.56"
"32","Scott Wedgewood","ARI, DAL, N.J","37","2104.8","1218","1108","110","0.910","3.14","3.26","108.35","333","273","60","0.820","1.71","1.04","85","153","34.99","21.98"
"53","Connor Hellebuyck","WPG","66","3903.5","2155","1962","193","0.910","2.97","7.39","199.26","627","511","116","0.815","1.78","-1.06","126","258","35.58","19.46"
"75","Felix Sandstrom","PHI","5","297.25","177","161","16","0.910","3.23","0.46","17.84","49","43","6","0.878","1.21","2.98","21","19","32.55","24.06"
"3","Marc-Andre Fleury","CHI, MIN","56","3284.8666666667","1732","1573","159","0.908","2.90","2.05","148","420","343","77","0.817","1.41","-0.01","102","194","33.78","23.66"
