"Game","HomeTeam","AwayTeam","Winner","PTSwin","PTSlose","WinningTeam"
1,"Atlanta Dream","Dallas Wings","Home",76,72,"Atlanta Dream"
2,"New York Liberty","Indiana Fever","Away",81,80,"Indiana Fever"
3,"Connecticut Sun","Washington Mystics","Home",84,69,"Connecticut Sun"
4,"Minnesota Lynx","Chicago Sky","Home",89,71,"Minnesota Lynx"
5,"Seattle Storm","Phoenix Mercury","Home",77,68,"Seattle Storm"
6,"Las Vegas Aces","Los Angeles Sparks","Home",83,70,"Las Vegas Aces"
7,"Connecticut Sun","Indiana Fever","Home",88,77,"Connecticut Sun"
8,"Minnesota Lynx","Seattle Storm","Home",72,61,"Minnesota Lynx"
9,"Atlanta Dream","Seattle Storm","Away",82,66,"Seattle Storm"
10,"Los Angeles Sparks","Connecticut Sun","Home",77,70,"Los Angeles Sparks"
11,"Phoenix Mercury","Las Vegas Aces","Home",86,84,"Phoenix Mercury"
12,"Chicago Sky","Seattle Storm","Home",83,79,"Chicago Sky"
13,"Dallas Wings","Minnesota Lynx","Away",70,67,"Minnesota Lynx"
14,"Indiana Fever","New York Liberty","Home",92,77,"Indiana Fever"
15,"Washington Mystics","Atlanta Dream","Home",96,75,"Washington Mystics"
16,"Las Vegas Aces","Connecticut Sun","Away",80,74,"Connecticut Sun"
17,"New York Liberty","Los Angeles Sparks","Away",78,73,"Los Angeles Sparks"
18,"Seattle Storm","Minnesota Lynx","Home",84,77,"Seattle Storm"
19,"Washington Mystics","Chicago Sky","Home",103,85,"Washington Mystics"
20,"Atlanta Dream","Las Vegas Aces","Away",92,69,"Las Vegas Aces"
21,"Connecticut Sun","Los Angeles Sparks","Home",89,77,"Connecticut Sun"
22,"Minnesota Lynx","Phoenix Mercury","Home",58,56,"Minnesota Lynx"
23,"Indiana Fever","Dallas Wings","Home",79,64,"Indiana Fever"
24,"New York Liberty","Washington Mystics","Away",94,85,"Washington Mystics"
25,"Minnesota Lynx","Los Angeles Sparks","Away",89,85,"Los Angeles Sparks"
26,"Atlanta Dream","Connecticut Sun","Away",65,59,"Connecticut Sun"
27,"Chicago Sky","Seattle Storm","Home",78,71,"Chicago Sky"
28,"Indiana Fever","Phoenix Mercury","Away",94,87,"Phoenix Mercury"
29,"New York Liberty","Las Vegas Aces","Home",88,78,"New York Liberty"
30,"Washington Mystics","Dallas Wings","Home",86,62,"Washington Mystics"
31,"Chicago Sky","Phoenix Mercury","Home",82,75,"Chicago Sky"
32,"Connecticut Sun","Washington Mystics","Home",83,75,"Connecticut Sun"
33,"Indiana Fever","Seattle Storm","Away",84,82,"Seattle Storm"
34,"New York Liberty","Minnesota Lynx","Home",75,69,"New York Liberty"
35,"Dallas Wings","Indiana Fever","Away",76,72,"Indiana Fever"
36,"Las Vegas Aces","New York Liberty","Home",100,65,"Las Vegas Aces"
37,"Minnesota Lynx","Connecticut Sun","Away",85,81,"Connecticut Sun"
38,"Phoenix Mercury","Los Angeles Sparks","Away",85,68,"Los Angeles Sparks"
39,"Washington Mystics","Seattle Storm","Away",74,71,"Seattle Storm"
40,"Dallas Wings","Atlanta Dream","Home",71,61,"Dallas Wings"
41,"Indiana Fever","Chicago Sky","Away",70,64,"Chicago Sky"
42,"Los Angeles Sparks","New York Liberty","Away",98,92,"New York Liberty"
43,"Connecticut Sun","Seattle Storm","Home",81,67,"Connecticut Sun"
44,"Minnesota Lynx","Las Vegas Aces","Away",80,75,"Las Vegas Aces"
45,"Los Angeles Sparks","Washington Mystics","Away",81,52,"Washington Mystics"
46,"Atlanta Dream","Indiana Fever","Home",88,78,"Atlanta Dream"
47,"New York Liberty","Chicago Sky","Away",91,83,"Chicago Sky"
48,"Dallas Wings","Phoenix Mercury","Home",69,54,"Dallas Wings"
49,"Las Vegas Aces","Washington Mystics","Away",95,72,"Washington Mystics"
50,"Chicago Sky","Indiana Fever","Away",76,69,"Indiana Fever"
51,"Connecticut Sun","Atlanta Dream","Home",86,76,"Connecticut Sun"
52,"Seattle Storm","Los Angeles Sparks","Home",84,62,"Seattle Storm"
53,"Las Vegas Aces","Dallas Wings","Home",86,68,"Las Vegas Aces"
54,"Minnesota Lynx","New York Liberty","Home",92,83,"Minnesota Lynx"
55,"Atlanta Dream","Washington Mystics","Away",89,73,"Washington Mystics"
56,"Chicago Sky","Connecticut Sun","Home",93,75,"Chicago Sky"
57,"Phoenix Mercury","Los Angeles Sparks","Home",82,72,"Phoenix Mercury"
58,"Seattle Storm","Indiana Fever","Home",65,61,"Seattle Storm"
59,"Indiana Fever","Minnesota Lynx","Away",78,74,"Minnesota Lynx"
60,"Las Vegas Aces","Seattle Storm","Home",60,56,"Las Vegas Aces"
61,"Chicago Sky","Washington Mystics","Away",81,74,"Washington Mystics"
62,"Dallas Wings","Connecticut Sun","Home",74,73,"Dallas Wings"
63,"Los Angeles Sparks","Las Vegas Aces","Home",86,74,"Los Angeles Sparks"
64,"New York Liberty","Dallas Wings","Home",69,68,"New York Liberty"
65,"Phoenix Mercury","Indiana Fever","Home",91,69,"Phoenix Mercury"
66,"Seattle Storm","Chicago Sky","Home",79,76,"Seattle Storm"
67,"Las Vegas Aces","Indiana Fever","Home",102,97,"Las Vegas Aces"
68,"Washington Mystics","Connecticut Sun","Home",102,59,"Washington Mystics"
69,"Atlanta Dream","New York Liberty","Away",74,58,"New York Liberty"
70,"Dallas Wings","Minnesota Lynx","Home",89,86,"Dallas Wings"
71,"Los Angeles Sparks","Chicago Sky","Home",94,69,"Los Angeles Sparks"
72,"Seattle Storm","Phoenix Mercury","Away",69,67,"Phoenix Mercury"
73,"Las Vegas Aces","Chicago Sky","Home",90,82,"Las Vegas Aces"
74,"Minnesota Lynx","Atlanta Dream","Home",85,68,"Minnesota Lynx"
75,"Seattle Storm","New York Liberty","Away",84,83,"New York Liberty"
76,"Dallas Wings","Indiana Fever","Away",76,56,"Indiana Fever"
77,"Phoenix Mercury","New York Liberty","Away",80,76,"New York Liberty"
78,"Seattle Storm","Atlanta Dream","Away",77,66,"Atlanta Dream"
79,"Connecticut Sun","Minnesota Lynx","Away",74,71,"Minnesota Lynx"
80,"Chicago Sky","Dallas Wings","Home",78,66,"Chicago Sky"
81,"Los Angeles Sparks","Washington Mystics","Home",98,81,"Los Angeles Sparks"
82,"New York Liberty","Las Vegas Aces","Away",90,58,"Las Vegas Aces"
83,"Phoenix Mercury","Atlanta Dream","Home",65,63,"Phoenix Mercury"
84,"Dallas Wings","Los Angeles Sparks","Home",74,62,"Dallas Wings"
85,"Atlanta Dream","Connecticut Sun","Home",78,75,"Atlanta Dream"
86,"Chicago Sky","Minnesota Lynx","Away",73,72,"Minnesota Lynx"
87,"Indiana Fever","Las Vegas Aces","Away",74,71,"Las Vegas Aces"
88,"Washington Mystics","Phoenix Mercury","Away",91,68,"Phoenix Mercury"
89,"Atlanta Dream","Minnesota Lynx","Home",60,53,"Atlanta Dream"
