,,,,,Scoring,Scoring,Scoring,,,Goals,Goals,Goals,Goals,Assists,Assists,Assists,,,Ice Time,Ice Time,Point Shares,Point Shares,Point Shares,,,,,,-additional
Rk,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,OPS,DPS,PS,BLK,HIT,FOW,FOL,FO%,-9999
1,Mikko Rantanen,25,RW,75,36,56,92,35,56,20,16,0,2,37,19,0,254,14.2,1574,20:59,7.9,2.6,10.5,43,58,164,190,46.3,rantami01
2,Nathan MacKinnon,26,C,65,32,56,88,22,42,25,7,0,5,36,20,0,299,10.7,1369,21:04,7.7,2.0,9.7,39,68,383,461,45.4,mackina01
3,Nazem Kadri,31,C,71,28,59,87,13,71,20,8,0,6,38,21,0,247,11.3,1366,19:14,7.2,1.7,8.9,19,52,585,592,49.7,kadrina01
4,Cale Makar,23,D,77,28,58,86,48,26,19,9,0,6,33,25,0,240,11.7,1976,25:40,8.5,6.8,15.3,110,95,0,0,,makarca01
5,Andre Burakovsky,26,LW,80,22,39,61,12,18,18,4,0,5,32,7,0,149,14.8,1301,16:16,4.3,1.6,5.9,34,49,8,12,40.0,burakan01
6,Gabriel Landeskog,29,LW,51,30,29,59,27,78,23,7,0,5,21,8,0,150,20.0,1036,20:19,5.6,1.9,7.5,34,94,241,198,54.9,landega01
7,Devon Toews,27,D,66,13,44,57,52,20,11,2,0,3,34,10,0,158,8.2,1674,25:22,4.7,6.6,11.2,85,54,0,0,,toewsde01
8,Valeri Nichushkin,26,RW,62,25,27,52,21,14,18,5,2,5,23,4,0,180,13.9,1180,19:02,4.1,1.8,5.9,27,89,0,5,0.0,nichuva01
9,J.T. Compher,26,LW,70,18,15,33,6,25,13,4,1,0,13,2,0,102,17.6,1143,16:19,1.7,1.2,2.9,55,31,338,319,51.4,comphj.01
10,Alex Newhook,21,C,71,13,20,33,11,12,10,3,0,5,17,3,0,113,11.5,963,13:34,1.7,1.2,3.0,36,40,136,256,34.7,newhoal01
11,Samuel Girard,23,D,67,5,23,28,-4,20,5,0,0,1,16,7,0,79,6.3,1450,21:39,1.4,2.1,3.5,90,65,0,0,,girarsa01
12,Erik Johnson,33,D,77,8,17,25,22,24,7,0,1,1,15,1,1,139,5.8,1330,17:17,1.5,3.8,5.3,136,165,0,0,,johnser01
13,Logan O'Connor,25,RW,81,8,16,24,10,38,7,0,1,1,13,0,3,127,6.3,1124,13:52,-0.1,1.3,1.3,59,100,5,17,22.7,oconnlo01
14,Nicolas Aube-Kubel,25,RW,67,11,11,22,14,41,11,0,0,2,11,0,0,78,14.1,658,9:49,1.3,1.1,2.4,17,123,3,9,25.0,aubekni01
15,Bowen Byram,20,D,30,5,12,17,7,12,4,1,0,2,12,0,0,49,10.2,564,18:48,1.4,1.4,2.9,26,53,0,0,,byrambo01
16,Darren Helm,35,C,68,7,8,15,-5,14,6,0,1,1,7,0,1,93,7.5,717,10:33,0.1,0.4,0.6,27,114,103,130,44.2,helmda01
17,Tyson Jost,23,C,59,6,8,14,2,30,6,0,0,0,7,0,1,76,7.9,756,12:49,-0.2,0.7,0.5,29,44,118,182,39.3,jostty01
18,Artturi Lehkonen,26,LW,16,6,3,9,1,8,5,1,0,1,2,1,0,45,13.3,263,16:26,0.7,0.3,1.0,13,22,0,6,0.0,lehkoar01
19,Jack Johnson,35,D,74,1,8,9,5,42,1,0,0,0,7,0,1,57,1.8,1239,16:45,-0.6,2.4,1.9,68,91,0,0,,johnsja02
20,Josh Manson,30,D,22,2,5,7,-11,12,2,0,0,0,5,0,0,31,6.5,383,17:24,0.4,-0.2,0.2,25,63,0,0,,mansojo01
21,Kurtis MacDermid,27,D,58,2,3,5,1,89,2,0,0,0,3,0,0,46,4.3,429,7:24,0.1,0.8,0.9,22,105,0,0,,macdeku01
22,Ryan Murray,28,D,37,0,4,4,-3,2,0,0,0,0,3,0,1,26,0.0,521,14:05,-0.3,0.6,0.4,41,32,0,0,,murrary01
23,Jayson Megna,31,C,20,0,3,3,-2,4,0,0,0,0,3,0,0,19,0.0,206,10:18,-0.3,0.1,-0.2,9,27,56,60,48.3,megnaja01
24,Nico Sturm,26,C,21,0,3,3,-2,6,0,0,0,0,3,0,0,28,0.0,269,12:48,-0.5,0.2,-0.3,7,38,118,98,54.6,sturmni01
25,Kiefer Sherwood,26,RW,11,1,1,2,3,0,1,0,0,1,1,0,0,9,11.1,94,8:34,0.0,0.2,0.2,4,12,1,0,100.0,sherwki01
26,Ben Meyers,23,F,5,1,0,1,-2,0,1,0,0,0,0,0,0,8,12.5,50,9:57,0.1,0.0,0.0,1,1,11,13,45.8,meyerbe01
27,Justus Annunen,21,G,2,0,1,1,0,0,0,0,0,0,0,1,0,0,,97,48:23,0.0,0.0,0.1,0,0,0,0,,annunju01
28,Andrew Cogliano,34,LW,18,0,1,1,-2,8,0,0,0,0,1,0,0,17,0.0,198,11:01,-0.5,0.1,-0.4,10,22,0,1,0.0,coglian01
29,Dylan Sikura,26,C,5,0,1,1,0,0,0,0,0,0,1,0,0,3,0.0,50,9:57,0.0,0.0,0.0,3,0,0,0,,sikurdy01
30,Justin Barron,20,D,2,0,0,0,-1,0,0,0,0,0,0,0,0,0,,25,12:35,0.0,0.0,-0.1,1,1,0,0,,barroju01
31,Pavel Francouz,31,G,21,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1200,57:09,0.0,0.0,3.9,0,0,0,0,,francpa01
32,Jordan Gross,26,D,1,0,0,0,0,4,0,0,0,0,0,0,0,0,,8,8:19,0.0,0.0,0.0,0,1,0,0,,grossjo01
33,Jonas Johansson,26,G,9,0,0,0,0,0,0,0,0,0,0,0,0,0,,370,41:09,0.0,0.0,0.6,0,0,0,0,,johanjo03
34,Martin Kaut,22,RW,6,0,0,0,2,0,0,0,0,0,0,0,0,1,0.0,53,8:49,-0.1,0.1,0.0,3,6,0,0,,kautma01
35,Darcy Kuemper,31,G,57,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,3259,57:10,0.0,0.0,12.3,0,0,0,0,,kuempda01
36,Jacob MacDonald,28,D,8,0,0,0,-1,2,0,0,0,0,0,0,0,17,0.0,81,10:06,-0.1,0.1,0.0,3,9,0,0,,macdoja02
37,Mikhail Maltsev,23,LW,18,0,0,0,-5,2,0,0,0,0,0,0,0,23,0.0,145,8:04,-0.4,-0.1,-0.5,2,31,44,32,57.9,maltsmi01
38,Stefan Matteau,27,LW,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,4,3:39,0.0,0.0,0.0,0,0,0,0,,mattest02
39,Sampo Ranta,21,LW,10,0,0,0,-4,2,0,0,0,0,0,0,0,9,0.0,109,10:54,-0.3,-0.1,-0.4,6,9,2,2,50.0,rantasa01
,Team Total,,,82,308,531,839,272,724,235,67,6,52,394,129,8,2874,10.7,,,57.2,42.9,116.9,1084,1764,2316,2583,47.3,-9999
