Rk,Gtm,Date,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,Pos
1,1,Apr 14,WSH,W3-0,4,4,0,2,0,1,0,1,0,0,0,0,0,,0,0,1,0,0.500,0.500,1.000,1.500,4,0.65,0.139,1.59,0.21%,1.40,CF
2,2,Apr 15,PHA,L1-3,4,4,1,2,1,0,0,0,0,0,0,0,0,,0,0,0,0,0.500,0.500,0.875,1.375,4,1.06,0.032,3.07,0.06%,0.60,CF
3,3,Apr 16,PHA,L7-10,5,5,1,4,2,0,1,2,0,0,0,0,0,,0,0,0,0,0.615,0.615,1.231,1.846,4,0.93,0.171,2.43,0.27%,2.72,CF
4,4,Apr 17,PHA,W9-4,5,4,2,2,0,0,0,0,1,0,0,0,0,,0,0,0,0,0.588,0.611,1.059,1.670,4,0.54,0.011,1.25,0.02%,1.03,CF
5,5,Apr 18,WSH,L4-7,4,4,1,1,0,0,0,1,0,0,0,0,0,,0,0,1,0,0.524,0.545,0.905,1.450,4,1.29,-0.069,2.98,-0.10%,0.31,CF
6,6,Apr 19,WSH,W5-2,5,5,1,1,0,0,1,2,0,0,0,0,0,,0,0,0,0,0.462,0.481,0.885,1.366,4,1.52,-0.062,3.37,-0.08%,0.23,CF
7,7,Apr 20,PHA,W19-5,6,5,4,3,0,0,1,6,1,0,0,0,0,,0,0,0,0,0.484,0.515,0.935,1.451,4,1.11,0.218,2.77,0.33%,4.56,CF
8,8,Apr 21,PHA,W14-4,6,5,3,4,1,0,1,2,1,0,0,0,0,,0,0,0,0,0.528,0.564,1.028,1.592,4,0.37,0.066,1.07,0.11%,2.28,CF
9,9,Apr 22,PHA,L5-6,4,3,1,0,0,0,0,0,1,0,0,0,0,,0,0,0,0,0.487,0.535,0.949,1.484,4,1.03,-0.072,3.08,-0.13%,-0.58,CF
10,10,Apr 23,BOS,W4-2,5,4,0,0,0,0,0,1,1,1,0,0,0,,0,0,0,0,0.442,0.500,0.860,1.360,4,2.16,-0.129,6.31,-0.23%,-0.70,CF
11,11,Apr 24,BOS,W6-3,5,3,0,0,0,0,0,0,2,2,0,0,0,,0,0,0,0,0.413,0.491,0.804,1.295,4,1.11,-0.127,3.54,-0.24%,-1.04,CF
12,12,Apr 25,WSH,W6-0,5,5,1,1,0,0,0,1,0,0,2,0,0,,0,1,0,0,0.392,0.466,0.745,1.211,4,0.38,0.041,1.19,0.08%,-0.61,CF
13,13,Apr 26,WSH,W8-3,5,3,2,1,0,0,0,1,2,0,0,0,0,,0,0,0,0,0.389,0.476,0.722,1.198,4,0.53,0.075,1.72,0.15%,1.04,CF
14,14,Apr 27,WSH,L3-6,4,4,1,1,0,0,1,1,0,0,0,0,0,,0,0,0,0,0.379,0.463,0.741,1.204,4,0.61,-0.046,2.14,-0.10%,0.40,CF
15,15,Apr 29,SLB,L2-3,4,2,1,0,0,0,0,0,2,0,0,0,0,,0,0,0,0,0.367,0.465,0.717,1.181,4,1.45,-0.027,4.72,-0.05%,0.02,CF
16,16,Apr 30,SLB,W7-1,5,4,0,2,1,0,0,1,1,1,0,0,0,,0,0,0,0,0.375,0.474,0.719,1.192,4,0.60,0.034,1.86,0.06%,0.95,CF
17,17,May 1,SLB,W14-5,6,3,3,1,1,0,0,1,3,2,0,0,0,,1,0,0,0,0.373,0.488,0.716,1.204,4,0.33,0.030,1.02,0.06%,2.17,CF
18,18,May 2,CHW,L1-8,4,4,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0.352,0.465,0.676,1.141,4,0.63,-0.065,2.41,-0.15%,-0.85,CF
19,19,May 3,CHW,W6-5,6,3,1,0,0,0,0,0,2,1,0,1,0,,0,0,0,0,0.338,0.467,0.649,1.116,4,1.56,-0.007,5.76,-0.02%,-0.13,CF
20,20,May 4,DET,L1-10,4,4,0,1,1,0,0,0,0,0,0,0,0,,0,0,0,0,0.333,0.458,0.641,1.099,4,0.40,0.011,1.33,0.02%,-0.36,CF
21,21,May 5,DET,L3-7,4,3,0,0,0,0,0,0,1,0,0,0,0,,0,0,0,0,0.321,0.450,0.617,1.067,4,0.72,-0.054,2.34,-0.11%,-0.73,CF
22,22,May 6,DET,L4-7,4,4,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0.306,0.433,0.588,1.021,4,0.86,-0.044,2.70,-0.08%,0.10,CF
23,23,May 7,CLE,W7-5,5,3,0,0,0,0,0,0,2,1,0,0,0,,0,1,0,0,0.295,0.431,0.568,0.999,4,1.00,-0.058,3.33,-0.12%,-1.15,CF
24,24,May 8,CLE,W5-4,4,4,0,2,0,0,0,1,0,0,0,0,0,,0,1,0,0,0.304,0.434,0.565,0.999,4,1.00,0.065,3.67,0.14%,1.12,CF
25,25,May 11,BOS,L5-13,5,5,1,3,0,0,0,0,0,0,0,0,0,,1,0,0,0,0.320,0.441,0.567,1.008,4,0.22,-0.015,0.86,-0.04%,0.76,CF
26,26,May 12,BOS,L4-8,5,4,0,2,1,0,0,0,1,0,0,0,0,,0,0,0,0,0.327,0.447,0.574,1.021,4,0.47,0.013,1.60,0.03%,0.68,CF
27,27,May 13,CLE,L1-2,4,4,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0.314,0.433,0.552,0.985,4,1.49,-0.037,5.03,-0.08%,-0.15,CF
28,28,May 14,CLE,L1-4,4,3,0,0,0,0,0,0,1,0,0,0,0,,0,0,0,0,0.306,0.427,0.537,0.965,4,1.00,-0.040,3.08,-0.07%,-0.40,CF
29,29,May 15,CHW,L1-13,4,4,0,1,0,0,0,1,0,0,0,0,0,,0,0,0,0,0.304,0.422,0.527,0.949,4,0.88,0.022,2.32,0.04%,-0.02,CF
30,30,May 16,CHW,W6-5,4,4,2,2,0,1,1,1,0,0,0,0,0,,0,0,0,0,0.310,0.424,0.569,0.993,4,1.45,0.393,3.40,0.55%,1.51,CF
31,31,May 17,CHW,L2-3,4,3,1,1,0,0,0,0,1,0,0,0,0,,0,0,0,0,0.311,0.427,0.563,0.990,4,2.62,-0.103,6.39,-0.15%,-0.16,CF
32,32,May 18,SLB,W12-2,5,3,3,3,1,0,0,1,1,0,0,0,0,,0,0,0,0,0.328,0.442,0.582,1.024,4,0.65,0.113,1.22,0.13%,1.82,CF
33,33,May 19,SLB,L1-5,4,3,0,1,1,0,0,0,1,0,0,0,0,,0,0,0,0,0.328,0.444,0.584,1.028,4,0.44,-0.018,0.91,-0.02%,0.00,CF
