Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,Pos
1,826,1,Apr 14,NYY,@,WSH,W7-0,CG,5,5,1,1,0,0,0,1,0,0,1,0,0,,0,0,0,0,0.200,0.200,0.200,0.400,4,0.33,-0.014,0.86,-0.02%,-0.29,CF
2,827,2,Apr 15,NYY,@,WSH,W9-3,CG,5,5,2,3,1,0,1,5,0,0,0,0,0,,0,0,0,0,0.400,0.400,0.800,1.200,4,0.99,0.388,2.71,0.64%,4.21,CF
3,828,3,Apr 16,NYY,@,WSH,W8-5,CG,5,3,1,0,0,0,0,0,2,0,1,0,0,,0,0,0,0,0.308,0.400,0.615,1.015,4,1.52,-0.016,4.49,-0.03%,-0.01,CF
4,829,4,Apr 17,NYY,,BOS,W1-0,CG,4,3,0,0,0,0,0,0,1,0,0,0,0,,1,0,0,0,0.250,0.368,0.500,0.868,4,0.95,0.098,3.38,0.21%,0.77,CF
5,830,5,Apr 18,NYY,,BOS,L1-5,CG,4,4,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0.200,0.304,0.400,0.704,4,0.55,-0.055,2.02,-0.12%,-0.88,CF
6,831,6,Apr 19,NYY,,BOS,L2-5,CG,5,4,0,1,0,0,0,1,1,0,0,0,0,,0,0,0,0,0.208,0.321,0.375,0.696,4,0.96,0.039,3.15,0.08%,0.48,CF
7,832,7,Apr 21,NYY,@,PHA,W10-4,CG,5,4,2,3,0,0,0,1,1,0,0,0,0,,0,0,0,1,0.286,0.394,0.429,0.823,4,0.61,0.099,1.75,0.17%,1.32,CF
8,833,8,Apr 22,NYY,,PHA,W11-5,CG,4,4,3,3,0,2,1,2,0,0,0,0,0,,0,0,0,0,0.344,0.432,0.688,1.120,4,0.78,0.134,2.38,0.25%,2.24,CF
9,834,9,Apr 23,NYY,,PHA,W6-4,CG,5,4,1,1,0,0,0,0,1,1,0,0,0,,1,0,0,0,0.333,0.429,0.639,1.067,4,1.83,0.061,5.96,0.12%,-0.03,CF
10,835,10,Apr 24,NYY,@,BOS,W8-5,CG,5,5,1,0,0,0,0,0,0,0,0,0,0,,0,1,0,0,0.293,0.383,0.561,0.944,4,2.09,-0.517,8.46,-1.26%,-3.87,CF
11,836,11,Apr 25,NYY,@,BOS,L2-4,CG,4,4,1,2,0,0,0,0,0,0,0,0,0,,0,0,0,0,0.311,0.392,0.556,0.948,4,0.87,-0.010,3.65,-0.03%,0.27,CF
