Season_End_Year,Squad,Comp,Team_or_Opponent,Num_Players,Age,Poss,MP_Playing,Starts_Playing,Min_Playing,Mins_Per_90_Playing,Gls,Ast,G_minus_PK,PK,PKatt,CrdY,CrdR,Gls_Per,Ast_Per,G+A_Per,G_minus_PK_Per,G+A_minus_PK_Per,xG_Expected,npxG_Expected,xA_Expected,npxG+xA_Expected,xG_Per,xA_Per,xG+xA_Per,npxG_Per,npxG+xA_Per,Url
2019,Alavés,La Liga,team,26,26.7,42.7,38,418,3420,38,39,27,37,2,3,101,1,1.03,0.71,1.74,0.97,1.68,37.3,35,23.9,58.9,0.98,0.63,1.61,0.92,1.55,https://fbref.com/en/squads/8d6fd021/2018-2019/Alaves-Stats
2019,Alavés,La Liga,opponent,26,26.9,57.3,38,418,3420,38,48,31,42,6,6,93,2,1.26,0.82,2.08,1.11,1.92,51,46.8,35.7,82.4,1.34,0.94,2.28,1.23,2.17,https://fbref.com/en/squads/8d6fd021/2018-2019/Alaves-Stats
2019,Amiens,Ligue 1,team,26,26.5,46.3,38,418,3420,38,30,22,28,2,3,59,6,0.79,0.58,1.37,0.74,1.32,34.6,32.3,23.1,55.5,0.91,0.61,1.52,0.85,1.46,https://fbref.com/en/squads/25622401/2018-2019/Amiens-Stats
2019,Amiens,Ligue 1,opponent,26,26.1,53.7,38,418,3420,38,50,34,44,6,9,61,3,1.32,0.89,2.21,1.16,2.05,46.4,39.7,30.3,70,1.22,0.8,2.02,1.04,1.84,https://fbref.com/en/squads/25622401/2018-2019/Amiens-Stats
2019,Angers,Ligue 1,team,24,28,43,38,418,3420,38,42,27,37,5,10,49,4,1.11,0.71,1.82,0.97,1.68,47.7,39.8,29.6,69.4,1.25,0.78,2.03,1.05,1.83,https://fbref.com/en/squads/69236f98/2018-2019/Angers-Stats
2019,Angers,Ligue 1,opponent,24,25.8,57,38,418,3420,38,47,40,44,3,5,76,3,1.24,1.05,2.29,1.16,2.21,46.9,43.2,33,76.2,1.24,0.87,2.1,1.14,2.01,https://fbref.com/en/squads/69236f98/2018-2019/Angers-Stats
2019,Arsenal,Premier League,team,28,26.7,58,38,418,3420,38,69,52,65,4,5,73,2,1.82,1.37,3.18,1.71,3.08,59,55.1,45.8,100.9,1.55,1.21,2.76,1.45,2.66,https://fbref.com/en/squads/18bb7c10/2018-2019/Arsenal-Stats
2019,Arsenal,Premier League,opponent,28,26.8,42,38,418,3420,38,49,32,42,7,7,76,2,1.29,0.84,2.13,1.11,1.95,54.1,48.8,35.4,84.2,1.42,0.93,2.36,1.28,2.22,https://fbref.com/en/squads/18bb7c10/2018-2019/Arsenal-Stats
2019,Atalanta,Serie A,team,27,26.5,57.8,38,418,3420,38,75,60,73,2,4,62,3,1.97,1.58,3.55,1.92,3.5,66.9,63.9,50.2,114,1.76,1.32,3.08,1.68,3,https://fbref.com/en/squads/922493f3/2018-2019/Atalanta-Stats
2019,Atalanta,Serie A,opponent,27,26.9,42.2,38,418,3420,38,43,28,39,4,5,92,6,1.13,0.74,1.87,1.03,1.76,41.2,37.5,27.3,64.8,1.08,0.72,1.8,0.99,1.71,https://fbref.com/en/squads/922493f3/2018-2019/Atalanta-Stats
2019,Athletic Club,La Liga,team,27,27.6,50.1,38,418,3420,38,38,26,33,5,7,118,4,1,0.68,1.68,0.87,1.55,40.2,34.8,25.3,60.1,1.06,0.66,1.72,0.92,1.58,https://fbref.com/en/squads/2b390eca/2018-2019/Athletic-Club-Stats
2019,Athletic Club,La Liga,opponent,27,27.2,49.9,38,418,3420,38,45,32,40,5,5,106,2,1.18,0.84,2.03,1.05,1.89,43.8,40,29.5,69.5,1.15,0.78,1.93,1.05,1.83,https://fbref.com/en/squads/2b390eca/2018-2019/Athletic-Club-Stats
2019,Atlético Madrid,La Liga,team,29,26.4,49.4,38,418,3420,38,52,36,49,3,4,100,5,1.37,0.95,2.32,1.29,2.24,46,42.9,31.3,74.3,1.21,0.82,2.04,1.13,1.95,https://fbref.com/en/squads/db3b9613/2018-2019/Atletico-Madrid-Stats
2019,Atlético Madrid,La Liga,opponent,29,27,50.6,38,418,3420,38,27,15,22,5,5,95,3,0.71,0.39,1.11,0.58,0.97,38.7,34.9,24.2,59.1,1.02,0.64,1.65,0.92,1.56,https://fbref.com/en/squads/db3b9613/2018-2019/Atletico-Madrid-Stats
