Season_End_Year,Squad,Comp,Team_or_Opponent,Num_Players,Age,Poss,MP_Playing,Starts_Playing,Min_Playing,Mins_Per_90_Playing,Gls,Ast,G_minus_PK,PK,PKatt,CrdY,CrdR,Gls_Per,Ast_Per,G+A_Per,G_minus_PK_Per,G+A_minus_PK_Per,xG_Expected,npxG_Expected,xA_Expected,npxG+xA_Expected,xG_Per,xA_Per,xG+xA_Per,npxG_Per,npxG+xA_Per,Url
2021,Alavés,La Liga,team,30,28.7,42.7,38,418,3420,38,35,21,30,5,8,96,8,0.92,0.55,1.47,0.79,1.34,42.4,36.5,25.5,62,1.12,0.67,1.79,0.96,1.63,https://fbref.com/en/squads/8d6fd021/2020-2021/Alaves-Stats
2021,Alavés,La Liga,opponent,30,27.5,57.3,38,418,3420,38,57,44,54,3,3,80,3,1.5,1.16,2.66,1.42,2.58,50.8,48.5,37,85.5,1.34,0.97,2.31,1.28,2.25,https://fbref.com/en/squads/8d6fd021/2020-2021/Alaves-Stats
2021,Athletic Club,La Liga,team,27,26.6,49.8,38,418,3420,38,43,31,39,4,5,82,3,1.13,0.82,1.95,1.03,1.84,44.4,40.7,31.1,71.8,1.17,0.82,1.99,1.07,1.89,https://fbref.com/en/squads/2b390eca/2020-2021/Athletic-Club-Stats
2021,Athletic Club,La Liga,opponent,27,27.6,50.2,38,418,3420,38,41,29,36,5,6,80,5,1.08,0.76,1.84,0.95,1.71,36.3,31.9,24.6,56.5,0.96,0.65,1.6,0.84,1.49,https://fbref.com/en/squads/2b390eca/2020-2021/Athletic-Club-Stats
2021,Atlético Madrid,La Liga,team,25,27.3,52.4,38,418,3420,38,65,54,60,5,7,100,0,1.71,1.42,3.13,1.58,3,52.4,46.8,37.8,84.6,1.38,0.99,2.37,1.23,2.23,https://fbref.com/en/squads/db3b9613/2020-2021/Atletico-Madrid-Stats
2021,Atlético Madrid,La Liga,opponent,25,27.5,47.6,38,418,3420,38,22,15,21,1,4,59,3,0.58,0.39,0.97,0.55,0.95,32.7,29.7,23.2,52.9,0.86,0.61,1.47,0.78,1.39,https://fbref.com/en/squads/db3b9613/2020-2021/Atletico-Madrid-Stats
2021,Barcelona,La Liga,team,25,26.4,65.8,38,418,3420,38,80,51,76,4,8,72,2,2.11,1.34,3.45,2,3.34,78.9,72.6,57.4,130,2.08,1.51,3.59,1.91,3.42,https://fbref.com/en/squads/206d90db/2020-2021/Barcelona-Stats
2021,Barcelona,La Liga,opponent,25,27.4,34.2,38,418,3420,38,36,20,31,5,5,76,6,0.95,0.53,1.47,0.82,1.34,39.6,35.8,24.2,60,1.04,0.64,1.68,0.94,1.58,https://fbref.com/en/squads/206d90db/2020-2021/Barcelona-Stats
2021,Betis,La Liga,team,25,27.9,53.9,38,418,3420,38,50,35,42,8,11,93,8,1.32,0.92,2.24,1.11,2.03,46,37.8,29.9,67.7,1.21,0.79,2,1,1.78,https://fbref.com/en/squads/fc536746/2020-2021/Real-Betis-Stats
2021,Betis,La Liga,opponent,25,27.4,46.1,38,418,3420,38,47,31,39,8,10,83,2,1.24,0.82,2.05,1.03,1.84,45.5,38,29.6,67.7,1.2,0.78,1.98,1,1.78,https://fbref.com/en/squads/fc536746/2020-2021/Real-Betis-Stats
