Name,Team,G,IP,ERA,K/9,vCH,vCU,vFA
Jhoan Duran,MIN,57,67.2,1.86,11.84,,87.8,100.9
Andrés Muñoz,SEA,64,65,2.49,13.29,,,100.3
Ryan Helsley,STL,54,64.2,1.25,13.08,89.7,80.8,99.7
Brusdar Graterol,LAD,46,49.2,3.26,7.79,,,99.4
Aneurys Zabala,MIA,2,2.2,0,6.75,90.7,,99.4
Félix Bautista,BAL,65,65.2,2.19,12.06,,85.4,99.3
Pete Fairbanks,TBR,24,24,1.13,14.25,95.8,,99.2
Edwin Díaz,NYM,61,62,1.31,17.13,,,99.1
Hunter Greene,CIN,24,125.2,4.44,11.75,90.2,,99
Junior Fernández,2 Tms,16,18.2,2.41,6.75,90.9,,99
Jacob deGrom,NYM,11,64.1,3.08,14.27,92,83.4,98.9
Gregory Soto,DET,64,60.1,3.28,8.95,91.6,,98.8
Gregory Santos,SFG,2,3.2,4.91,4.91,,,98.7
Javy Guerra,2 Tms,18,18,5,5,,,98.6
Luis L. Ortiz,PIT,4,16,4.5,9.56,90.9,,98.5
Ryne Stanek,HOU,59,54.2,1.15,10.21,,,98.5
Hunter Harvey,WSN,38,39.1,2.52,10.3,,82.7,98.3
José Alvarado,PHI,59,51,3.18,14.29,,86.7,98.2
Albert Abreu,3 Tms,33,38.2,3.26,8.84,88.1,,98.2
Spencer Strider,ATL,31,131.2,2.67,13.81,88.7,,98.1
Dustin May,LAD,6,30,4.5,8.7,88.5,,98.1
Yerry Rodríguez,TEX,1,1,0,9,,,98.1
Anthony Bender,MIA,22,19.1,3.26,7.91,90.6,,98.1
Jonathan Loáisiga,NYY,50,48,4.13,6.94,90,86,98.1
Jordan Hicks,STL,35,61.1,4.84,9.24,92.3,80.3,98
Trevor Megill,MIN,39,45,4.8,9.8,,83.3,98
Sandy Alcantara,MIA,32,228.2,2.28,8.15,91.7,84.1,98
Daniel Bard,COL,57,60.1,1.79,10.29,90.2,,97.9
Robert Suarez,SDP,45,47.2,2.27,11.52,89.2,80.6,97.9
Frank German,BOS,5,4,18,9,,,97.9
Domingo Tapia,OAK,11,17,8.47,6.35,89,,97.9
Seranthony Domínguez,PHI,54,51,3,10.76,92.2,,97.8
Liam Hendriks,CHW,58,57.2,2.81,13.27,,86,97.8
Clay Holmes,NYY,62,63.2,2.54,9.19,,,97.8
Gerrit Cole,NYY,33,200.2,3.5,11.53,89.7,82.9,97.8
Dennis Santana,TEX,63,58.2,5.22,8.28,89.9,,97.7
Dylan Coleman,KCR,68,68,2.78,9.4,,,97.7
Yunior Marte,SFG,39,48,5.44,8.25,90.8,,97.7
Tyler Glasnow,TBR,2,6.2,1.35,13.5,,83.9,97.6
Carlos Estévez,COL,62,57,3.47,8.53,88.5,,97.5
Aroldis Chapman,NYY,43,36.1,4.46,10.65,,,97.5
Huascar Brazoban,MIA,27,32,3.09,11.25,89.1,,97.4
Matt Bush,2 Tms,65,59.2,3.47,11.16,,81,97.4
Shohei Ohtani,LAA,28,166,2.33,11.87,91.9,77.9,97.4
Julian Merryweather,TOR,26,26.2,6.75,7.76,81.7,80.6,97.4
Arodys Vizcaíno,KCR,7,5.2,6.35,4.76,87.5,84.3,97.3
Jorge López,2 Tms,67,71,2.54,9.13,90.1,84.3,97.3
Luis García,SDP,64,61,3.39,10.03,,,97.3
Graham Ashcraft,CIN,19,105,4.89,6.09,89.8,,97.3
Bryan Abreu,HOU,55,60.1,1.94,13.13,90,84.6,97.3
Anthony Gose,CLE,22,21,4.71,12,88.5,,97.3
Nick Duron,PHI,1,1,0,9,,,97.2
Cionel Pérez,BAL,66,57.2,1.4,8.58,,82.7,97.2
Luis Gil,NYY,1,4,9,11.25,93.3,,97.2
Blake Treinen,LAD,5,5,1.8,10.8,,,97.1
Reynaldo López,CHW,61,65.1,2.76,8.68,86.1,80.2,97.1
