Name,Team,G,IP,ERA,xERA,FIP,xFIP,K/9,vFA,vCU,vCH
Logan Webb,SFG,33,216,3.25,3.66,3.16,2.95,8.08,92.6,,87.5
Zac Gallen,ARI,34,210,3.47,4.18,3.26,3.49,9.43,93.6,,86.8
Gerrit Cole,NYY,33,209,2.63,3.48,3.16,3.6,9.56,96.7,,89.1
Miles Mikolas,STL,35,201.1,4.78,5.41,4.27,4.76,6.12,93.3,75.9,84.4
Chris Bassitt,TOR,33,200,3.6,4.04,4.28,4.21,8.37,92.4,70.7,84.1
Framber Valdez,HOU,31,198,3.45,4.33,3.5,3.39,9.09,,80.2,90.1
Luis Castillo,SEA,33,197,3.34,3.79,3.81,3.81,10.01,96.3,,88.3
Mitch Keller,PIT,32,194.1,4.21,4.16,3.8,3.7,9.73,95.2,78,90.7
Pablo López,MIN,32,194,3.66,3,3.33,3.28,10.86,94.9,82.5,88.4
Aaron Nola,PHI,32,193.2,4.46,3.77,4.03,3.63,9.39,92.7,,85.9
Corbin Burnes,MIL,32,193.2,3.39,3.4,3.81,3.8,9.29,,79.9,89.3
Kyle Gibson,BAL,33,192,4.73,4.73,4.13,4.13,7.36,92.1,79.5,85.5
Zack Wheeler,PHI,32,192,3.61,3.21,3.15,3.54,9.94,95.8,81.4,91.1
Logan Gilbert,SEA,32,190.2,3.73,3.69,3.85,3.76,8.92,95.7,,
George Kirby,SEA,31,190.2,3.35,3.82,3.34,3.63,8.12,96.1,81.8,86.6
José Berríos,TOR,32,189.2,3.65,4.55,3.99,4.01,8.73,94.3,82.6,84.1
Jordan Montgomery,2 Tms,32,188.2,3.2,4.04,3.56,4.01,7.92,93.4,80.5,83.5
Spencer Strider,ATL,32,186.2,3.86,3.09,2.85,2.92,13.55,97.2,,87
Kevin Gausman,TOR,31,185,3.16,3.87,2.97,3.22,11.53,94.7,,
Sandy Alcantara,MIA,28,184.2,4.14,4.3,4.03,4,7.36,98,86.1,91.1
Lucas Giolito,3 Tms,33,184.1,4.88,4.61,5.27,4.45,9.96,93.1,77.9,80.9
Sonny Gray,MIN,32,184,2.79,3.69,2.83,3.64,8.95,92.9,79.6,87.9
Lance Lynn,2 Tms,32,183.2,5.73,4.86,5.53,4.5,9.36,92.4,80.8,84.9
Patrick Corbin,WSN,32,180,5.2,6.16,5.28,4.76,6.2,91.8,,81.2
Blake Snell,SDP,32,180,2.25,3.77,3.44,3.62,11.7,95.5,81,86.7
Jesús Luzardo,MIA,32,178.2,3.58,3.96,3.55,3.72,10.48,96.7,,88.3
Jordan Lyles,KCR,31,177.2,6.28,5.03,5.62,5.34,6.08,91.2,79.4,85.5
Merrill Kelly,ARI,30,177.2,3.29,4.13,3.85,3.83,9.47,92.2,82.1,88.7
Zach Eflin,TBR,31,177.2,3.5,3.11,3.01,3.12,9.42,92.9,79.1,86.4
Johan Oviedo,PIT,32,177.2,4.31,4.61,4.49,4.87,8,95.8,80.9,88.1
Dylan Cease,CHW,33,177,4.58,4.07,3.72,4.08,10.88,95.6,,74.6
Bryce Elder,ATL,31,174.2,3.81,4.55,4.42,4.49,6.6,90.7,,85
Justin Steele,CHC,30,173.1,3.06,3.5,3.02,3.32,9.14,91.8,80.7,87.5
Taijuan Walker,PHI,31,172.2,4.38,4.42,4.53,4.83,7.19,92.9,74.8,
Dean Kremer,BAL,32,172.2,4.12,4.96,4.51,4.34,8.18,94.6,78.1,85.3
Dane Dunning,TEX,35,172.2,3.7,4.48,4.27,4.39,7.3,90.5,77.7,85.7
JP Sears,OAK,32,172.1,4.54,4.77,5.15,5.1,8.41,93.1,,84.1
Kyle Bradish,BAL,30,168.2,2.83,3.82,3.27,3.53,8.96,94.5,84.8,90.8
Yusei Kikuchi,TOR,32,167.2,3.86,4.27,4.12,3.77,9.72,95.1,83.1,88.7
Kodai Senga,NYM,29,166.1,2.98,3.87,3.63,3.77,10.93,95.6,72.7,
Freddy Peralta,MIL,30,165.2,3.86,3.35,3.85,3.42,11.41,94.4,77,88.6
Charlie Morton,ATL,30,163.1,3.64,4.7,3.87,4.27,10.08,94.9,82.3,86
Justin Verlander,2 Tms,27,162.1,3.22,3.69,3.85,4.56,7.98,94.3,78.2,85.2
Cristian Javier,HOU,31,162,4.56,4.48,4.58,5.16,8.83,92.7,,83.7
Joe Ryan,MIN,29,161.2,4.51,3.53,4.13,3.76,10.97,92.3,,
Braxton Garrett,MIA,31,159.2,3.66,4.55,3.68,3.42,8.79,90.8,77.6,84.1
Brady Singer,KCR,29,159.2,5.52,4.93,4.29,4.28,7.5,,,87.7
Clarke Schmidt,NYY,33,159,4.64,4.3,4.42,4.36,8.43,,,89.5
Josiah Gray,WSN,30,159,3.91,5.03,4.93,5.12,8.09,93.5,82.2,88.6
Jon Gray,TEX,29,157.1,4.12,4.45,4.47,4.36,8.12,95.7,78.2,88.8
Brayan Bello,BOS,28,157,4.24,4.21,4.54,4.02,7.57,95.5,,86.2
Kyle Freeland,COL,29,155.2,5.03,5.74,5.3,5.13,5.43,88.8,,84.3
Hunter Brown,HOU,31,155.2,5.09,4.27,4.37,3.52,10.29,95.7,,
Jameson Taillon,CHC,30,154.1,4.84,4.77,4.61,4.49,8.16,93.7,80.5,86.5
Michael Lorenzen,2 Tms,29,153,4.18,4.55,4.46,4.68,6.53,94.3,82.3,84.5
Max Scherzer,2 Tms,27,152.2,3.77,3.28,4.32,4.02,10.26,93.7,75.4,83.8
Eduardo Rodriguez,DET,26,152.2,3.3,4.04,3.66,4.06,8.43,92.2,,85.9
Alex Cobb,SFG,28,151.1,3.87,4.7,4.01,3.51,7.79,95.8,,
Reid Detmers,LAA,28,148.2,4.48,4.45,4.13,4.27,10.17,94.3,74.7,84.9
Andrew Heaney,TEX,34,147.1,4.15,4.55,4.66,4.58,9.22,92.5,74.4,84
Rich Hill,2 Tms,32,146.1,5.41,5.7,4.87,4.77,7.93,88.4,72,83
Seth Lugo,SDP,26,146.1,3.57,4.48,3.83,3.76,8.61,93.4,79.6,86.2
Graham Ashcraft,CIN,26,145.2,4.76,5,5.06,4.57,6.86,,,
Patrick Sandoval,LAA,28,144.2,4.11,4.73,4.18,4.61,7.96,93,76.5,83
Trevor Williams,WSN,30,144.1,5.55,5.74,5.98,5.21,6.92,89.7,76.7,83.3
Jack Flaherty,2 Tms,29,144.1,4.99,5.1,4.36,4.36,9.23,93.1,,85.3
Bailey Ober,MIN,26,144.1,3.43,3.63,3.96,4.2,9.1,91.3,77.5,83.7
Nathan Eovaldi,TEX,25,144,3.63,4.01,3.88,3.96,8.25,95.1,76,
Ryne Nelson,ARI,29,144,5.31,5.3,5.07,5.3,6,94.4,76.5,83.3
Nick Pivetta,BOS,38,142.2,4.04,3.98,3.96,3.55,11.54,94.6,79.4,
Zack Greinke,KCR,30,142.1,5.06,5.06,4.74,4.42,6.13,89.5,72.5,86.5
