yearID,lgID,teamID,G,W,L,R,RA,RD,Wpct
2000,AL,ANA,162,82,80,864,869,-5,0.50617284
2000,NL,ARI,162,85,77,792,754,38,0.524691358
2000,NL,ATL,162,95,67,810,714,96,0.586419753
2000,AL,BAL,162,74,88,794,913,-119,0.456790123
2000,AL,BOS,162,85,77,792,745,47,0.524691358
2000,AL,CHA,162,95,67,978,839,139,0.586419753
2000,NL,CHN,162,65,97,764,904,-140,0.401234568
2000,NL,CIN,163,85,77,825,765,60,0.524691358
2000,AL,CLE,162,90,72,950,816,134,0.555555556
2000,NL,COL,162,82,80,968,897,71,0.50617284
2000,AL,DET,162,79,83,823,827,-4,0.487654321
2000,NL,FLO,161,79,82,731,797,-66,0.49068323
2000,NL,HOU,162,72,90,938,944,-6,0.444444444
2000,AL,KCA,162,77,85,879,930,-51,0.475308642
2000,NL,LAN,162,86,76,798,729,69,0.530864198
2000,NL,MIL,163,73,89,740,826,-86,0.450617284
2000,AL,MIN,162,69,93,748,880,-132,0.425925926
2000,NL,MON,162,67,95,738,902,-164,0.413580247
2000,AL,NYA,161,87,74,871,814,57,0.540372671
2000,NL,NYN,162,94,68,807,738,69,0.580246914
2000,AL,OAK,161,91,70,947,813,134,0.565217391
2000,NL,PHI,162,65,97,708,830,-122,0.401234568
2000,NL,PIT,162,69,93,793,888,-95,0.425925926
2000,NL,SDN,162,76,86,752,815,-63,0.469135802
2000,AL,SEA,162,91,71,907,780,127,0.561728395
2000,NL,SFN,162,97,65,925,747,178,0.598765432
2000,NL,SLN,162,95,67,887,771,116,0.586419753
2000,AL,TBA,161,69,92,733,842,-109,0.428571429
2000,AL,TEX,162,71,91,848,974,-126,0.438271605
2000,AL,TOR,162,83,79,861,908,-47,0.512345679
2001,AL,ANA,162,75,87,691,730,-39,0.462962963
2001,NL,ARI,162,92,70,818,677,141,0.567901235
2001,NL,ATL,162,88,74,729,643,86,0.543209877
2001,AL,BAL,162,63,98,687,829,-142,0.391304348
2001,AL,BOS,161,82,79,772,745,27,0.50931677
2001,AL,CHA,162,83,79,798,795,3,0.512345679
2001,NL,CHN,162,88,74,777,701,76,0.543209877
2001,NL,CIN,162,66,96,735,850,-115,0.407407407
2001,AL,CLE,162,91,71,897,821,76,0.561728395
2001,NL,COL,162,73,89,923,906,17,0.450617284
2001,AL,DET,162,66,96,724,876,-152,0.407407407
2001,NL,FLO,162,76,86,742,744,-2,0.469135802
2001,NL,HOU,162,93,69,847,769,78,0.574074074
2001,AL,KCA,162,65,97,729,858,-129,0.401234568
2001,NL,LAN,162,86,76,758,744,14,0.530864198
2001,NL,MIL,162,68,94,740,806,-66,0.419753086
2001,AL,MIN,162,85,77,771,766,5,0.524691358
2001,NL,MON,162,68,94,670,812,-142,0.419753086
2001,AL,NYA,161,95,65,804,713,91,0.59375
2001,NL,NYN,162,82,80,642,713,-71,0.50617284
2001,AL,OAK,162,102,60,884,645,239,0.62962963
2001,NL,PHI,162,86,76,746,719,27,0.530864198
2001,NL,PIT,162,62,100,657,858,-201,0.382716049
2001,NL,SDN,162,79,83,789,812,-23,0.487654321
2001,AL,SEA,162,116,46,927,627,300,0.716049383
2001,NL,SFN,162,90,72,799,748,51,0.555555556
2001,NL,SLN,162,93,69,814,684,130,0.574074074
2001,AL,TBA,162,62,100,672,887,-215,0.382716049
2001,AL,TEX,162,73,89,890,968,-78,0.450617284
2001,AL,TOR,162,80,82,767,753,14,0.49382716
2002,AL,ANA,162,99,63,851,644,207,0.611111111
2002,NL,ARI,162,98,64,819,674,145,0.604938272
2002,NL,ATL,161,101,59,708,565,143,0.63125
2002,AL,BAL,162,67,95,667,773,-106,0.413580247
2002,AL,BOS,162,93,69,859,665,194,0.574074074
2002,AL,CHA,162,81,81,856,798,58,0.5
2002,NL,CHN,162,67,95,706,759,-53,0.413580247
2002,NL,CIN,162,78,84,709,774,-65,0.481481481
2002,AL,CLE,162,74,88,739,837,-98,0.456790123
2002,NL,COL,162,73,89,778,898,-120,0.450617284
2002,AL,DET,161,55,106,575,864,-289,0.341614907
2002,NL,FLO,162,79,83,699,763,-64,0.487654321
2002,NL,HOU,162,84,78,749,695,54,0.518518519
2002,AL,KCA,162,62,100,737,891,-154,0.382716049
2002,NL,LAN,162,92,70,713,643,70,0.567901235
2002,NL,MIL,162,56,106,627,821,-194,0.345679012
2002,AL,MIN,161,94,67,768,712,56,0.583850932
2002,NL,MON,162,83,79,735,718,17,0.512345679
2002,AL,NYA,161,103,58,897,697,200,0.639751553
2002,NL,NYN,161,75,86,690,703,-13,0.465838509
2002,AL,OAK,162,103,59,800,654,146,0.635802469
2002,NL,PHI,161,80,81,710,724,-14,0.49689441
2002,NL,PIT,161,72,89,641,730,-89,0.447204969
2002,NL,SDN,162,66,96,662,815,-153,0.407407407
2002,AL,SEA,162,93,69,814,699,115,0.574074074
2002,NL,SFN,162,95,66,783,616,167,0.590062112
2002,NL,SLN,162,97,65,787,648,139,0.598765432
2002,AL,TBA,161,55,106,673,918,-245,0.341614907
2002,AL,TEX,162,72,90,843,882,-39,0.444444444
2002,AL,TOR,162,78,84,813,828,-15,0.481481481
