Team,WinPct,eFG%,TOV%,ORB%,FT/FGA,Season
Los Angeles Lakers,0.8170731707317073,0.484,12.7,30.6,0.241,2000
Portland Trail Blazers,0.7195121951219512,0.501,14.5,30.3,0.24,2000
San Antonio Spurs,0.6463414634146342,0.488,14.3,27.8,0.258,2000
Phoenix Suns,0.6463414634146342,0.491,15.2,29.3,0.217,2000
Utah Jazz,0.6707317073170732,0.49,14.3,29.5,0.26,2000
Indiana Pacers,0.6829268292682927,0.503,13.3,24.9,0.245,2000
Miami Heat,0.6341463414634146,0.495,14.5,28.2,0.208,2000
Sacramento Kings,0.5365853658536586,0.486,13.9,27.7,0.209,2000
Charlotte Hornets,0.5975609756097561,0.475,13.7,25.7,0.285,2000
Minnesota Timberwolves,0.6097560975609756,0.485,12.9,29.4,0.2,2000
New York Knicks,0.6097560975609756,0.482,14.4,24.7,0.221,2000
Detroit Pistons,0.5121951219512195,0.492,14.3,26.8,0.295,2000
Philadelphia 76ers,0.5975609756097561,0.457,14.2,31.4,0.233,2000
Seattle SuperSonics,0.5487804878048781,0.487,12.9,28.5,0.196,2000
Orlando Magic,0.5,0.473,15.4,31.6,0.224,2000
Milwaukee Bucks,0.5121951219512195,0.494,13.8,30,0.228,2000
Toronto Raptors,0.5487804878048781,0.464,12.7,30.1,0.23,2000
Dallas Mavericks,0.4878048780487805,0.49,12.6,25.5,0.2,2000
Boston Celtics,0.4268292682926829,0.474,13.8,30.4,0.236,2000
Houston Rockets,0.4146341463414634,0.494,15.8,29.1,0.236,2000
New Jersey Nets,0.3780487804878049,0.468,12.6,28.1,0.233,2000
Denver Nuggets,0.4268292682926829,0.476,14,29.2,0.222,2000
Washington Wizards,0.35365853658536583,0.476,14.8,30.6,0.234,2000
Cleveland Cavaliers,0.3902439024390244,0.468,15.6,28.1,0.245,2000
Atlanta Hawks,0.34146341463414637,0.46,14.1,31.7,0.217,2000
Vancouver Grizzlies,0.2682926829268293,0.474,15.8,30.1,0.247,2000
Golden State Warriors,0.23170731707317074,0.444,13.9,32.6,0.21,2000
Chicago Bulls,0.2073170731707317,0.443,18,29.9,0.24,2000
Los Angeles Clippers,0.18292682926829268,0.458,14.9,26.1,0.202,2000
San Antonio Spurs,0.7073170731707317,0.496,13.6,27.1,0.267,2001
Sacramento Kings,0.6707317073170732,0.484,13.4,27.2,0.23,2001
Utah Jazz,0.6463414634146342,0.497,15.1,30.2,0.273,2001
Philadelphia 76ers,0.6829268292682927,0.468,14.7,31.2,0.262,2001
