Rk,Tm,G,PF,Yds,Plays,Pass_Att,Pass_Yds,Rush_Att,Rush_Yds
1,Kansas City Chiefs,17,496,7032,1094,651,5062,417,1970
2,Philadelphia Eagles,17,477,6614,1124,536,4105,544,2509
3,Dallas Cowboys,17,467,6034,1114,556,3736,531,2298
4,Buffalo Bills,16,455,6361,1037,574,4129,430,2232
5,Detroit Lions,17,453,6460,1092,588,4281,480,2179
6,San Francisco 49ers,17,450,6216,1047,512,3856,504,2360
7,Minnesota Vikings,17,424,6145,1123,672,4484,404,1661
8,Cincinnati Bengals,16,418,5768,1053,610,4240,399,1528
9,Seattle Seahawks,17,407,5976,1044,573,3934,425,2042
10,Jacksonville Jaguars,17,404,6075,1072,596,3959,448,2116
11,Miami Dolphins,17,397,6197,1009,584,4511,390,1686
12,Las Vegas Raiders,17,395,5993,1049,586,3934,428,2059
13,Los Angeles Chargers,17,391,6108,1154,711,4584,404,1524
14,Green Bay Packers,17,370,5745,1051,563,3632,456,2113
15,Atlanta Falcons,17,365,5417,1011,415,2699,559,2718
16,New York Giants,17,365,5676,1089,520,3157,520,2519
17,New England Patriots,17,364,5348,1006,540,3536,425,1812
18,Cleveland Browns,17,361,5934,1116,540,3444,532,2490
19,Baltimore Ravens,17,350,5760,1052,488,3040,526,2720
20,Carolina Panthers,17,347,5206,976,457,2996,483,2210
21,Arizona Cardinals,17,340,5499,1144,664,3626,434,1873
22,New Orleans Saints,17,330,5674,1015,512,3692,465,1982
23,Chicago Bears,17,326,5233,993,377,2219,558,3014
24,Washington Commanders,17,321,5615,1140,554,3472,538,2143
25,Tampa Bay Buccaneers,17,313,5894,1159,751,4586,386,1308
26,Pittsburgh Steelers,17,308,5484,1109,571,3411,500,2073
27,Los Angeles Rams,17,307,4769,1001,531,3108,411,1661
28,Tennessee Titans,17,298,5045,992,456,2914,487,2131
29,New York Jets,17,296,5409,1074,627,3723,405,1686
30,Houston Texans,17,289,4820,1015,579,3344,398,1476
31,Indianapolis Colts,17,289,5298,1103,604,3432,439,1866
32,Denver Broncos,17,287,5527,1078,571,3592,444,1935
,Avg Team,,370.6,5760.4,1066.8,564.7,3701.2,461.6,2059.2
,League Total,,11860,184332,34136,18069,118438,14770,65894
,Avg Tm/G,,21.9,340.1,63.0,33.3,218.5,27.3,121.6
