Team,PTS,SOS,GF/G,GA/G,PP%,PK%,SH,SHA,PIM/G,oPIM/G,S%,SV%
Florida Panthers*,122,-0.08,4.11,2.95,24.43,79.54,12,8,10.1,10.8,11.0,0.904
Colorado Avalanche*,119,-0.04,3.76,2.83,24.01,79.66,6,5,9.0,10.4,10.7,0.912
Carolina Hurricanes*,116,-0.05,3.38,2.44,21.98,88.04,4,3,9.2,7.7,9.9,0.913
Toronto Maple Leafs*,115,-0.06,3.80,3.07,27.27,82.05,13,4,8.6,8.5,11.0,0.900
Minnesota Wild*,113,-0.02,3.72,3.04,20.54,76.14,2,5,10.8,10.8,11.4,0.903
Calgary Flames*,111,-0.05,3.55,2.51,22.88,83.20,7,3,9.1,8.6,10.0,0.913
Tampa Bay Lightning*,110,-0.02,3.48,2.78,23.94,80.56,7,5,11.0,11.4,11.2,0.907
New York Rangers*,110,-0.03,3.05,2.49,25.23,82.30,8,2,8.2,8.2,10.5,0.919
St. Louis Blues*,109,-0.05,3.77,2.91,26.97,84.09,9,5,7.5,7.9,12.4,0.908
Boston Bruins*,107,-0.05,3.09,2.66,21.19,81.30,5,6,9.9,9.4,8.5,0.907
Edmonton Oilers*,104,0.00,3.48,3.06,25.96,79.37,11,6,8.1,7.1,10.2,0.905
Pittsburgh Penguins*,103,-0.04,3.28,2.71,20.16,84.43,3,8,6.9,8.4,9.4,0.914
Washington Capitals*,100,-0.02,3.29,2.95,18.75,80.44,8,9,7.7,8.8,10.5,0.898
Los Angeles Kings*,99,-0.01,2.87,2.83,16.13,76.65,11,9,7.7,8.3,8.2,0.901
Dallas Stars*,98,0.01,2.84,2.98,22.41,79.00,7,5,6.7,7.5,9.4,0.904
Nashville Predators*,97,0.02,3.20,3.05,24.42,79.23,2,5,12.6,11.9,10.7,0.906
Vegas Golden Knights,94,-0.01,3.20,2.98,18.40,77.40,10,7,7.6,7.7,9.3,0.901
Vancouver Canucks,92,0.00,3.00,2.82,23.48,74.89,5,6,8.0,8.6,9.4,0.912
Winnipeg Jets,89,0.02,3.05,3.09,21.05,75.00,9,8,8.8,9.5,9.5,0.907
New York Islanders,84,-0.02,2.79,2.82,22.12,84.19,5,7,8.9,8.4,9.7,0.913
Columbus Blue Jackets,81,0.02,3.15,3.62,18.64,78.57,7,6,7.7,7.2,10.5,0.897
San Jose Sharks,77,0.03,2.57,3.18,18.98,85.20,4,11,8.8,8.6,8.8,0.900
Anaheim Ducks,76,0.03,2.78,3.24,21.92,80.80,6,4,9.3,9.8,9.5,0.902
Buffalo Sabres,75,0.02,2.79,3.50,21.17,76.42,6,6,8.1,7.9,9.3,0.894
Detroit Red Wings,74,0.06,2.77,3.78,16.30,73.78,4,10,8.9,8.5,9.4,0.888
Ottawa Senators,73,0.03,2.73,3.22,19.34,80.32,9,4,10.0,10.2,9.1,0.904
Chicago Blackhawks,68,0.05,2.60,3.52,19.18,76.23,2,6,7.9,8.7,9.0,0.893
New Jersey Devils,63,0.04,2.99,3.68,15.56,80.19,6,14,8.1,8.4,9.6,0.881
Philadelphia Flyers,61,0.06,2.56,3.59,12.55,75.74,6,11,9.0,9.0,8.3,0.894
Seattle Kraken,60,0.04,2.60,3.46,14.55,74.89,8,7,8.5,8.0,8.9,0.880
Arizona Coyotes,57,0.06,2.51,3.77,13.86,75.00,3,4,10.2,8.2,9.7,0.894
Montreal Canadiens,55,0.05,2.66,3.87,13.71,75.55,6,12,10.2,9.0,8.9,0.888
