Name,Team,wFB/C,wCB/C,K/9
J.P. Feyereisen,TBR,5.83,,9.25
Tyler Kinley,COL,0.18,,10.13
Ryan Weber,NYY,1.09,-3.61,2.53
Hunter Brown,HOU,1.92,0.89,9.74
Yency Almonte,LAD,1.94,,8.41
Scott Alexander,SFG,3.19,,5.19
Jose Cisnero,DET,0.04,,8.28
Pete Fairbanks,TBR,2.88,,14.25
Evan Phillips,LAD,3.05,,11.00
Ryne Stanek,HOU,1.70,,10.21
Fernando Cruz,CIN,-0.07,,12.89
Ryan Helsley,STL,2.47,3.12,13.08
Edwin Diaz,NYM,0.26,,17.13
Matthew Boyd,SEA,3.11,1.43,8.78
Emmanuel Clase,CLE,2.28,,9.54
Matt Gage,TOR,3.12,,8.31
Cionel Perez,BAL,1.46,9.30,8.58
Danny Coulombe,MIN,1.77,2.03,6.57
Ryne Nelson,ARI,2.44,-0.98,7.85
Drey Jameson,ARI,1.07,-2.25,8.88
Anthony Bass,- - -,1.39,,9.34
Jason Adam,TBR,1.39,,10.66
Angel Zerpa,KCR,0.36,,2.45
Erik Swanson,SEA,2.10,,11.74
Mark Appel,PHI,2.79,,4.35
Justin Verlander,HOU,2.05,1.63,9.51
Daniel Bard,COL,0.80,,10.29
Luke Bard,- - -,-0.04,3.15,4.80
Caleb Ferguson,LAD,1.29,0.29,9.61
Alexis Diaz,CIN,1.60,,11.73
Jhoan Duran,MIN,1.07,2.21,11.84
Devin Williams,MIL,2.03,,14.24
Bryan Abreu,HOU,-0.10,0.53,13.13
Matt Moore,TEX,0.81,0.71,10.09
Brock Burke,TEX,0.48,,9.84
Ron Marinaccio,NYY,1.11,,11.45
Adam Ottavino,NYM,0.41,,10.83
A.J. Minter,ATL,1.82,,12.09
James Karinchak,CLE,1.97,0.09,14.31
Zack Thompson,STL,1.87,1.52,7.01
Seth Martinez,HOU,1.23,,8.84
Jordan Romano,TOR,1.75,,10.27
Dylan Lee,ATL,1.36,,10.48
Angel De Jesus,DET,0.17,,4.97
Tony Gonsolin,LAD,0.00,1.90,8.22
Alex Vesia,LAD,1.70,,13.09
Julio Urias,LAD,1.29,0.93,8.54
Jesus Tinoco,TEX,1.07,1.13,7.84
Scott Barlow,KCR,-0.71,2.30,9.32
Hayden Wesneski,CHC,1.38,,9.00
Kyle Nelson,ARI,1.88,-3.63,7.30
Felix Bautista,BAL,1.49,,12.06
Dylan Cease,CHW,0.15,-1.24,11.10
Jovani Moran,MIN,0.39,,11.95
John Schreiber,BOS,1.51,,10.25
Daniel Hudson,LAD,0.56,,11.10
Jake Woodford,STL,1.35,2.35,4.47
Alek Manoah,TOR,1.19,,8.24
Matt Wisler,TBR,-0.85,,7.16
Nick Sandlin,CLE,1.61,,8.39
Lance McCullers Jr.,HOU,-3.58,2.87,9.44
Robert Suarez,SDP,1.43,-0.98,11.52
Clayton Kershaw,LAD,1.34,1.89,9.76
Cody Morris,CLE,-2.71,2.72,8.75
Sandy Alcantara,MIA,0.47,2.24,8.15
Max Scherzer,NYM,1.33,0.95,10.71
Michael King,NYY,0.90,1.62,11.65
Ronny Henriquez,MIN,-4.47,,6.94
Sam Hentges,CLE,1.04,2.40,10.45
Gabe Speier,KCR,0.02,,6.52
Shohei Ohtani,LAA,0.04,-0.65,11.87
Aaron Bummer,CHW,-0.40,,10.13
Alex Young,- - -,-1.44,-1.79,7.09
Rafael Montero,HOU,1.19,,9.61
David Robertson,- - -,,2.21,11.45
Junior Fernandez,- - -,0.29,,6.75
Tommy Hunter,NYM,0.18,-4.56,8.87
JT Chargois,TBR,1.51,,6.85
Nestor Cortes,NYY,2.08,-9.01,9.27
David Price,LAD,0.45,3.78,8.26
Stephen Nogosek,NYM,1.27,-6.07,8.59
Jeffrey Springs,TBR,-0.04,,9.58
Raisel Iglesias,- - -,1.36,,11.32
Max Fried,ATL,1.02,1.43,8.26
Jimmy Herget,LAA,-1.11,1.82,8.22
Andres Munoz,SEA,-1.52,,13.29
Hunter Harvey,WSN,1.86,-5.23,10.30
Camilo Doval,SFG,-0.91,,10.64
Jorge Lopez,- - -,0.36,2.63,9.13
Scott Effross,- - -,-0.60,,9.85
Cristian Javier,HOU,1.40,-0.63,11.74
Shane McClanahan,TBR,0.23,2.16,10.50
Zac Gallen,ARI,1.26,1.45,9.39
Clay Holmes,NYY,1.05,,9.19
Tyler Anderson,LAD,0.48,-0.17,6.95
Wily Peralta,DET,0.29,,7.51
Collin McHugh,ATL,-2.03,0.09,9.74
Jaime Barria,LAA,0.23,,6.13
David Bednar,PIT,0.63,0.49,12.02
Chase De Jong,PIT,-0.75,0.57,7.41
Spencer Strider,ATL,1.44,,13.81
Lucas Luetge,NYY,,1.56,9.42
Paul Sewald,SEA,1.79,,10.13
Brooks Raley,TBR,1.50,,10.23
Trevor Stephan,CLE,0.02,,11.59
Jake Cousins,MIL,0.03,,14.18
Tyler Cyr,- - -,2.42,,10.80
Wandy Peralta,NYY,1.54,,7.51
Connor Overton,CIN,1.71,-1.26,3.82
Eduard Bazardo,BOS,-2.36,,6.06
Reynaldo Lopez,CHW,2.09,0.18,8.68
Carl Edwards Jr.,WSN,0.34,-0.66,8.13
Zach Pop,- - -,0.68,,5.77
Dylan Coleman,KCR,0.38,,9.40
Brad Hand,PHI,0.94,,7.60
Adam Cimber,TOR,0.40,,7.39
Jalen Beeks,TBR,0.28,-10.49,10.33
Liam Hendriks,CHW,0.88,-1.41,13.27
Framber Valdez,HOU,0.40,1.03,8.67
Zack Wheeler,PHI,1.62,-0.62,9.59
Andrew Chafin,DET,-0.19,,10.52
David Phelps,TOR,1.11,0.86,9.05
Peter Strzelecki,MIL,0.62,,10.29
Jose Leclerc,TEX,-2.35,8.53,10.20
Drew Rasmussen,TBR,1.04,-0.15,7.71
Tommy Kahnle,LAD,-7.36,,9.95
Joe Mantiply,ARI,1.43,,9.15
Shane Bieber,CLE,-0.09,1.09,8.91
Carlos Rodon,SFG,1.31,1.06,11.98
Martin Perez,TEX,0.50,-3.95,7.75
Logan Webb,SFG,0.17,,7.63
Patrick Sandoval,LAA,-0.28,0.58,9.14
Sam Moll,OAK,-0.59,,9.55
Erasmo Ramirez,WSN,-1.02,,6.36
Mason Thompson,WSN,0.64,,5.47
Jose Quintana,- - -,1.24,1.25,7.44
Joe Musgrove,SDP,1.05,-0.08,9.15
Jhonathan Diaz,LAA,-1.93,4.07,6.46
Corbin Burnes,MIL,-2.97,0.89,10.83
Nabil Crismatt,SDP,-0.89,-0.27,8.69
Brad Boxberger,MIL,0.90,,9.56
Triston McKenzie,CLE,1.26,2.17,8.94
Jonathan Hernandez,TEX,-0.88,,8.01
Ryan Pressly,HOU,-1.16,2.66,12.10
Steven Okert,MIA,-1.00,,11.05
Penn Murfee,SEA,0.58,,9.87
Luis Castillo,- - -,1.21,,10.00
Chad Green,NYY,0.00,2.00,9.60
Seranthony Dominguez,PHI,1.62,,10.76
Zach Jackson,OAK,1.23,,12.56
Edward Cabrera,MIA,-1.38,1.63,9.42
Ross Stripling,TOR,0.49,-0.69,7.44
Dylan Floro,MIA,1.56,,8.05
Joey Wentz,DET,0.40,0.48,7.44
Enyel De Los Santos,CLE,0.94,,10.29
Giovanny Gallegos,STL,0.24,,11.14
Brandon Woodruff,MIL,0.62,-0.07,11.15
Chris Martin,- - -,1.50,,11.89
Dillon Tate,BAL,2.63,,7.33
Tanner Banks,CHW,1.98,2.53,8.32
Steven Wilson,SDP,0.13,,9.00
Phoenix Sanders,TBR,-2.87,0.75,7.36
Jacob deGrom,NYM,1.35,4.38,14.27
Sonny Gray,MIN,0.57,1.39,8.80
Huascar Brazoban,MIA,-2.31,,11.25
Andrew Heaney,LAD,-0.42,,13.62
Yu Darvish,SDP,0.97,2.01,9.11
Yimi Garcia,TOR,2.39,,8.56
Adrian Sampson,CHC,0.51,,6.30
Javier Assad,CHC,0.47,-1.30,7.17
Logan Gillaspie,BAL,0.53,2.44,5.19
A.J. Puk,OAK,-0.01,,10.31
Clarke Schmidt,NYY,-0.73,3.32,8.74
Brandon Hughes,CHC,-0.11,,10.61
Tim Mayza,TOR,1.36,,8.14
Tanner Houck,BOS,0.95,,8.40
Andrew Kittredge,TBR,1.20,,6.30
Wade Miley,CHC,1.23,0.35,6.81
Bryce Elder,ATL,0.82,,7.83
Andre Pallante,STL,0.27,-2.22,6.08
Luis Severino,NYY,1.33,,9.88
Justin Steele,CHC,-0.52,0.50,9.53
John Brebbia,SFG,0.27,,7.15
Jose Alvarado,PHI,-0.19,1.28,14.29
Kendall Graveman,CHW,-0.39,-1.86,9.14
Kyle Wright,ATL,-0.14,1.03,8.68
Keegan Akin,BAL,1.14,-1.61,8.49
Logan Gilbert,SEA,0.46,0.33,8.43
Trevor Williams,NYM,1.22,-1.00,8.43
Bailey Ober,MIN,0.22,2.10,8.20
Johan Oviedo,- - -,-0.74,1.92,8.68
Andrew Wantz,LAA,1.71,,9.30
Brady Singer,KCR,0.57,,8.80
Dean Kremer,BAL,0.49,-1.62,6.25
Joel Payamps,- - -,-0.18,,6.63
Aaron Nola,PHI,1.62,0.97,10.32
Jimmy Lambert,CHW,0.21,-1.42,8.62
Albert Abreu,- - -,-0.13,,8.84
Anthony Bender,MIA,1.39,,7.91
Brusdar Graterol,LAD,1.98,,7.79
Connor Brogdon,PHI,-0.86,,10.23
Gregory Soto,DET,0.93,,8.95
Miles Mikolas,STL,1.19,0.00,6.81
Manuel Rodriguez,CHC,1.65,-0.74,5.27
Tanner Rainey,WSN,-0.25,,10.80
Andrew Bellatti,PHI,0.29,,12.92
Tyler Thornburg,- - -,0.14,-1.49,6.63
Jesus Luzardo,MIA,0.81,,10.76
Michael Wacha,BOS,-0.40,-2.17,7.35
Domingo Acevedo,OAK,-0.65,,7.71
Drew Smith,NYM,0.18,1.25,10.37
Andres Machado,WSN,-0.25,,6.98
Ralph Garza,TBR,1.07,10.09,4.37
Kevin Gausman,TOR,0.05,,10.56
Johnny Cueto,CHW,0.88,1.36,5.80
Griffin Jax,MIN,0.08,-0.72,9.71
Merrill Kelly,ARI,0.77,-0.03,7.95
Blake Snell,SDP,0.12,-0.16,12.02
Adbert Alzolay,CHC,2.11,,12.83
Kenley Jansen,ATL,-1.42,,11.95
Eli Morgan,CLE,0.65,3.92,9.72
Jeff Brigham,MIA,0.30,,10.50
Zack Weiss,LAA,-0.61,,12.15
Kevin Ginkel,ARI,0.13,,9.20
Mychal Givens,- - -,-0.22,,10.42
Cal Quantrill,CLE,-0.10,0.03,6.18
George Kirby,SEA,1.36,-1.27,9.21
Michael Fulmer,- - -,-0.97,-9.20,8.62
Luis Garcia,SDP,-0.38,,10.03
Dany Jimenez,OAK,-1.24,2.48,8.91
Alex Lange,DET,-0.97,0.74,11.65
Chris Bassitt,NYM,0.94,1.48,8.27
Corey Knebel,PHI,0.84,-1.51,8.26
Matt Manning,DET,1.25,-1.60,6.86
Garrett Whitlock,BOS,0.95,,9.42
Ryan Pepiot,LAD,0.18,,10.40
Matt Bush,- - -,0.14,2.28,11.16
Drew Smyly,CHC,-0.54,0.32,7.70
Nick Martinez,SDP,-1.00,0.12,8.04
Carlos Estevez,COL,0.30,,8.53
Jordan Montgomery,- - -,0.62,0.11,7.97
Bryan Baker,BAL,1.20,,9.82
Caleb Thielbar,MIN,0.67,-0.23,12.13
Taijuan Walker,NYM,-0.14,0.41,7.55
Joe Jimenez,DET,0.58,,12.23
Gerrit Cole,NYY,0.63,-0.41,11.53
Tyler Matzek,ATL,1.34,-3.11,7.42
Marcus Stroman,CHC,0.35,-3.33,7.72
Kyle Finnegan,WSN,1.07,,9.45
Tarik Skubal,DET,0.15,-2.68,8.95
Bryan Garcia,DET,0.17,,7.52
Michael Kopech,CHW,0.77,1.24,7.92
Joe Ryan,MIN,1.68,-0.82,9.24
Richard Bleier,MIA,-0.47,,5.68
Jharel Cotton,- - -,0.76,-4.77,8.16
Tim Hill,SDP,1.19,,4.69
Tyler Rogers,SFG,0.77,,5.83
Freddy Peralta,MIL,0.67,1.99,9.92
Braxton Garrett,MIA,0.42,-0.40,9.20
Jose Cuas,KCR,-0.83,,8.12
Seth Lugo,NYM,0.33,0.64,9.55
Domingo German,NYY,-1.38,0.66,7.22
Ryan Tepera,LAA,0.96,,7.38
Sammy Long,SFG,-0.90,-0.40,7.02
Beau Sulser,- - -,0.90,-4.89,7.66
Taylor Widener,ARI,0.69,-24.61,7.27
Diego Castillo,SEA,0.11,,8.78
Brandon Bielak,HOU,-1.18,-0.69,8.76
Ranger Suarez,PHI,0.16,-1.13,7.47
Nick Lodolo,CIN,0.15,,11.41
Zack Greinke,KCR,-0.01,0.63,4.80
Eric Lauer,MIL,0.58,-1.37,8.91
Jackson Stephens,ATL,0.59,0.57,7.88
Oliver Ortega,LAA,0.26,-1.54,8.74
Adam Wainwright,STL,-0.42,0.54,6.71
Devin Smeltzer,MIN,-0.99,-0.84,5.12
Robbie Ray,SEA,0.12,-9.59,10.10
Luis Garcia,HOU,-0.64,0.79,8.98
Hector Neris,HOU,0.87,,10.88
Chris Flexen,SEA,-0.87,-7.29,6.21
Alex Cobb,SFG,0.20,0.21,9.08
Hirokazu Sawamura,BOS,-0.59,,7.11
Jarlin Garcia,SFG,0.48,,7.75
Pablo Lopez,MIA,0.35,1.03,8.70
Craig Kimbrel,LAD,0.17,0.14,10.80
Keegan Thompson,CHC,-0.27,-0.60,8.45
Hoby Milner,MIL,0.25,,8.91
Jesse Chavez,- - -,-3.61,2.45,9.61
Reid Detmers,LAA,0.31,0.08,8.51
Brent Suter,MIL,-0.98,,7.16
Roansy Contreras,PIT,-0.76,-0.31,8.15
Ryan Thompson,TBR,0.17,,8.23
Luis Perdomo,MIL,0.98,,4.56
Justin Bruihl,LAD,1.47,,4.94
Louie Varland,MIN,0.52,,7.27
Colin Holderman,- - -,-0.42,6.37,7.62
Jeff Hoffman,CIN,-0.45,,9.07
Matt Strahm,BOS,1.04,0.65,10.48
Buck Farmer,CIN,0.48,0.79,10.34
David Peterson,NYM,-0.32,-0.75,10.73
Aaron Loup,LAA,-0.49,,7.98
Phil Maton,HOU,-0.10,0.24,10.01
Joe Barlow,TEX,-1.30,-1.76,7.20
JP Sears,- - -,-1.38,,6.56
Bailey Falter,PHI,0.16,-1.24,7.93
Justus Sheffield,SEA,1.35,,5.40
Cody Poteet,MIA,-1.44,1.93,6.75
Jandel Gustave,MIL,-0.29,,8.68
