Name,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SF,oWAR
Elias Diaz,371,338,52,83,18,1,18,44,30,1,60,2,1,1.1
C.J. Cron,547,470,70,132,31,1,28,92,60,3,117,13,4,3.1
Brendan Rodgers,415,387,49,110,21,3,15,51,19,0,84,7,2,1.9
Trevor Story,595,526,88,132,34,5,24,75,53,2,139,11,5,3.4
Ryan McMahon*,596,528,80,134,32,1,23,86,59,2,147,4,5,1.7
Raimel Tapia*,533,487,69,133,26,2,6,50,40,2,70,1,4,0.2
Garrett Hampson,494,453,69,106,21,6,11,33,33,2,118,3,2,0.4
Charlie Blackmon*,582,514,76,139,25,4,13,78,54,1,91,11,3,1.3
Yonathan Daza,331,301,26,85,12,2,2,30,21,0,60,2,1,0
Joshua Fuentes,284,271,30,61,11,1,7,33,12,1,65,0,1,-0.8
Dom Nunez*,263,228,31,43,12,3,10,33,34,4,91,0,1,0.3
Sam Hilliard*,238,214,32,46,7,2,14,34,23,3,87,1,0,0.8
Connor Joe,211,179,23,51,9,0,8,35,26,0,41,3,3,1
Alan Trejo,50,46,7,10,2,0,1,3,3,1,15,0,1,-0.3
Chris Owings,50,43,9,14,4,3,1,5,7,1,15,0,0,0.6
Colton Welker,40,37,7,7,1,0,0,2,3,0,11,0,0,-0.4
Rio Ruiz*,40,35,1,6,1,0,0,4,3,0,9,0,2,-0.3
Matt Adams*,40,36,3,6,1,0,0,2,4,1,9,0,0,-0.4
Taylor Motter,22,20,2,3,0,0,0,0,2,0,6,0,0,-0.2
Ryan Vilade,7,6,0,0,0,0,0,0,1,0,1,0,0,-0.1
German Marquez,60,53,5,14,5,0,1,9,0,0,13,0,0,0.8
Antonio Senzatela,51,39,1,2,0,0,0,1,0,0,19,0,0,-0.5
Jon Gray,50,47,2,5,0,0,0,3,0,0,32,0,0,-0.3
Austin Gomber*,42,32,0,3,0,0,0,1,1,0,13,0,0,-0.1
Kyle Freeland*,40,33,3,6,1,0,0,4,2,0,17,0,1,0.2
Chi Chi Gonzalez,34,31,3,5,1,0,0,1,1,0,16,0,0,0.1
Jhoulys Chacin,7,6,0,0,0,0,0,0,0,0,2,0,0,-0.1
Ashton Goudeau,6,6,0,1,0,0,0,0,0,0,4,0,0,0
Yency Almonte,3,3,0,0,0,0,0,0,0,0,2,0,0,0
Peter Lambert,2,2,0,0,0,0,0,0,0,0,1,0,0,0
Ryan Castellani,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Ryan Feltner,1,1,0,0,0,0,0,0,0,0,1,0,0,0
Daniel Bard,1,1,1,1,0,0,0,0,0,0,0,0,0,0.1
