GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,27:29:00,7,12,0.583,0,0,,3,9,0.333,3,5,8,4,0,3,2,6,17,13.1,7
1,28:38:00,10,17,0.588,0,0,,7,12,0.583,4,15,19,3,0,2,2,3,27,24.7,34
1,36:28:00,17,23,0.739,0,0,,3,9,0.333,2,10,12,2,0,3,2,3,37,30,30
1,43:07:00,13,26,0.5,0,0,,8,15,0.533,5,10,15,1,1,4,7,4,34,20.6,7
1,49:49:00,8,18,0.444,0,0,,8,13,0.615,5,8,13,8,2,3,3,3,24,24,22
1,29:25:00,5,8,0.625,0,0,,4,8,0.5,2,3,5,2,1,2,2,1,14,12.5,24
1,35:48:00,7,10,0.7,0,0,,3,8,0.375,4,5,9,0,1,4,3,3,17,14.7,6
1,33:43:00,11,16,0.688,0,0,,4,5,0.8,2,10,12,4,1,2,5,4,26,21.8,23
0,23:32,10,14,0.714,0,0,,2,7,0.286,3,6,9,2,0,2,0,2,22,20.1,16
0,30:56:00,12,19,0.632,0,0,,2,7,0.286,8,8,16,5,0,0,3,5,26,22,2
1,36:17:00,9,20,0.45,0,0,,7,12,0.583,3,11,14,5,1,3,2,5,25,20.6,24
1,35:05:00,13,19,0.684,0,0,,12,21,0.571,1,8,9,0,2,3,2,2,38,30.7,12
1,31:17:00,14,20,0.7,0,0,,4,11,0.364,2,5,7,2,1,0,3,5,32,21.1,0
1,40:00:00,12,19,0.632,0,0,,8,16,0.5,2,11,13,2,1,3,2,3,32,26.3,-1
1,31:48:00,14,20,0.7,0,0,,6,11,0.545,8,2,10,2,0,1,1,2,34,30.1,23
1,33:25:00,8,16,0.5,0,0,,8,16,0.5,4,10,14,3,1,4,4,4,24,18.9,15
1,42:14:00,14,25,0.56,0,0,,7,14,0.5,8,7,15,3,1,7,4,5,35,30,5
1,33:33:00,10,16,0.625,0,0,,6,12,0.5,3,8,11,3,0,0,3,2,26,19.2,12
1,35:15:00,12,19,0.632,0,0,,6,13,0.462,3,9,12,2,0,5,3,3,30,24.2,1
1,35:14:00,12,21,0.571,0,0,,3,8,0.375,8,11,19,5,2,6,3,3,27,29.5,-7
1,38:56:00,9,18,0.5,0,0,,8,15,0.533,5,12,17,2,0,2,2,5,26,20.1,1
1,35:01:00,8,14,0.571,0,0,,8,13,0.615,4,5,9,3,0,2,1,1,24,21.8,23
1,39:09:00,10,17,0.588,0,0,,1,9,0.111,2,8,10,2,0,2,3,3,21,12.3,7
1,35:10:00,12,26,0.462,0,0,,7,13,0.538,6,6,12,1,2,2,3,5,31,20.3,-7
0,33:07:00,12,22,0.545,0,0,,9,17,0.529,1,9,10,1,0,5,2,2,33,24,10
1,40:48:00,19,29,0.655,0,0,,6,12,0.5,5,7,12,2,3,3,5,5,44,34,6
1,37:11:00,7,14,0.5,0,0,,4,7,0.571,5,8,13,1,0,1,5,3,18,10.9,-7
1,37:08:00,12,22,0.545,0,0,,6,11,0.545,2,8,10,1,1,2,3,0,30,21.3,-4
1,27:39:00,9,13,0.692,0,0,,1,4,0.25,3,8,11,1,0,3,2,3,19,16.4,25
