Rk,G,Date,Opp,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1,1,10/19/61,LAL,48,21,44,0.477,6,12,0.5,25,1,1,48
2,2,10/20/61,LAL,48,24,46,0.522,9,17,0.529,32,1,2,57
3,3,10/21/61,NYK,48,21,41,0.512,11,17,0.647,35,2,0,53
4,4,10/27/61,SYR,48,21,45,0.467,13,21,0.619,24,3,3,55
5,5,10/28/61,SYR,48,17,43,0.395,9,14,0.643,23,3,0,43
6,6,11/3/61,BOS,48,12,31,0.387,4,9,0.444,33,1,2,28
7,7,11/4/61,DET,48,24,48,0.5,10,16,0.625,33,0,1,58
8,8,11/8/61,DET,48,23,46,0.5,12,19,0.632,23,1,3,58
9,9,11/9/61,SYR,48,20,38,0.526,15,27,0.556,29,0,1,55
10,10,11/11/61,BOS,48,17,40,0.425,7,13,0.538,21,3,4,41
11,11,11/14/61,NYK,48,13,27,0.481,8,17,0.471,18,2,2,34
12,12,11/15/61,CIN,48,18,42,0.429,7,13,0.538,18,5,1,43
13,13,11/17/61,LAL,48,24,48,0.5,8,19,0.421,32,2,1,56
14,14,11/18/61,SYR,48,13,32,0.406,13,20,0.65,17,2,1,39
15,15,11/19/61,CHP,48,24,47,0.511,3,8,0.375,16,0,2,51
16,16,11/21/61,CIN,48,20,44,0.455,5,15,0.333,34,6,0,45
17,17,11/23/61,BOS,48,12,34,0.353,7,12,0.583,30,5,1,31
18,18,11/25/61,CHP,48,15,37,0.405,9,12,0.75,38,3,2,39
19,19,11/28/61,STL,48,13,28,0.464,13,25,0.52,22,1,0,39
20,20,12/1/61,LAL,48,22,47,0.468,16,26,0.615,21,4,1,60
21,21,12/2/61,LAL,48,11,22,0.5,15,26,0.577,24,1,1,37
22,22,12/5/61,NYK,48,17,31,0.548,5,12,0.417,22,4,1,39
23,23,12/6/61,STL,48,12,27,0.444,15,20,0.75,16,1,2,39
24,24,12/8/61,LAL,63,31,62,0.5,16,31,0.516,43,1,4,78
25,25,12/9/61,CHP,48,28,48,0.583,5,10,0.5,36,0,3,61
26,26,12/10/61,CHP,48,23,44,0.523,9,16,0.563,16,2,4,55
27,27,12/12/61,DET,48,22,42,0.524,10,14,0.714,25,5,2,54
28,28,12/13/61,BOS,48,22,43,0.512,8,12,0.667,30,0,2,52
29,29,12/14/61,SYR,48,17,39,0.436,9,17,0.529,22,2,1,43
30,30,12/16/61,CHP,48,21,39,0.538,8,12,0.667,21,3,3,50
31,31,12/19/61,CIN,48,24,47,0.511,9,14,0.643,25,1,0,57
32,32,12/20/61,DET,48,24,47,0.511,7,11,0.636,19,6,0,55
33,33,12/25/61,NYK,58,23,44,0.523,13,22,0.591,36,0,3,59
34,34,12/26/61,SYR,48,21,53,0.396,9,15,0.6,29,1,2,51
35,35,12/27/61,NYK,48,20,42,0.476,13,18,0.722,30,4,3,53
36,36,12/29/61,LAL,48,24,43,0.558,12,19,0.632,26,3,1,60
37,37,12/30/61,BOS,53,17,34,0.5,7,13,0.538,28,3,2,41
38,38,1/1/62,LAL,48,13,29,0.448,6,12,0.5,20,3,1,32
39,39,1/3/62,LAL,40,14,25,0.56,8,12,0.667,18,2,1,36
40,40,1/5/62,STL,48,20,39,0.513,13,21,0.619,22,2,0,53
41,41,1/7/62,STL,48,23,41,0.561,9,17,0.529,21,2,3,55
42,42,1/9/62,SYR,48,18,37,0.486,11,21,0.524,27,1,3,47
43,43,1/10/62,DET,48,15,40,0.375,9,13,0.692,25,1,0,39
44,44,1/11/62,CIN,48,19,40,0.475,14,24,0.583,22,5,0,52
45,45,1/13/62,CHP,48,29,48,0.604,15,25,0.6,36,0,2,73
46,46,1/14/62,BOS,48,27,45,0.6,8,11,0.727,28,2,1,62
47,47,1/17/62,STL,53,24,48,0.5,14,20,0.7,23,4,3,62
48,48,1/18/62,CIN,48,22,50,0.44,10,16,0.625,31,3,3,54
49,49,1/19/62,DET,48,23,42,0.548,7,10,0.7,21,2,1,53
50,50,1/20/62,DET,48,17,39,0.436,10,14,0.714,28,5,3,44
51,51,1/21/62,SYR,53,25,42,0.595,12,17,0.706,23,3,1,62
52,52,1/24/62,CHP,48,23,56,0.411,9,11,0.818,32,5,1,55
53,53,1/26/62,STL,48,16,29,0.552,15,19,0.789,22,4,3,47
54,54,1/27/62,BOS,48,21,28,0.75,11,17,0.647,27,1,3,53
55,55,1/28/62,BOS,53,17,31,0.548,16,22,0.727,20,3,4,50
56,56,1/30/62,NYK,48,22,40,0.55,11,19,0.579,27,3,1,55
57,57,2/1/62,CIN,48,22,36,0.611,9,16,0.563,26,5,1,53
58,58,2/2/62,NYK,48,12,31,0.387,11,19,0.579,19,4,1,35
59,59,2/3/62,SYR,48,15,35,0.429,11,14,0.786,15,3,0,41
60,60,2/4/62,SYR,48,19,35,0.543,12,18,0.667,26,2,0,50
61,61,2/8/62,NYK,48,23,37,0.622,13,19,0.684,24,0,0,59
62,62,2/9/62,BOS,48,15,32,0.469,18,23,0.783,29,1,1,48
63,63,2/10/62,BOS,48,16,33,0.485,6,12,0.5,31,4,1,38
64,64,2/11/62,NYK,48,18,36,0.5,6,13,0.462,25,5,0,42
65,65,2/13/62,CIN,48,24,40,0.6,17,30,0.567,22,4,3,65
66,66,2/14/62,DET,48,17,38,0.447,8,13,0.615,27,3,1,42
67,67,2/16/62,CIN,48,18,37,0.486,12,17,0.706,23,4,0,48
68,68,2/17/62,STL,48,26,44,0.591,15,20,0.75,28,2,1,67
69,69,2/20/62,CHP,48,21,46,0.457,6,8,0.75,21,2,4,48
70,70,2/21/62,SYR,48,19,33,0.576,8,17,0.471,16,2,3,46
71,71,2/22/62,STL,48,21,36,0.583,19,34,0.559,26,1,0,61
72,72,2/24/62,BOS,48,11,24,0.458,4,13,0.308,31,0,1,26
73,73,2/25/62,NYK,48,25,38,0.658,17,22,0.773,21,1,1,67
74,74,2/27/62,STL,48,25,43,0.581,15,20,0.75,23,2,3,65
75,75,2/28/62,CHP,48,24,46,0.522,13,17,0.765,28,6,4,61
76,76,3/2/62,NYK,48,36,63,0.571,28,32,0.875,25,2,2,100
77,77,3/4/62,NYK,48,24,41,0.585,10,16,0.625,35,4,0,58
78,78,3/7/62,BOS,48,13,30,0.433,4,11,0.364,27,2,1,30
79,79,3/11/62,SYR,48,19,27,0.704,6,18,0.333,26,2,2,44
80,80,3/14/62,CHP,53,15,34,0.441,4,5,0.8,33,4,3,34
